"","Date","Year","Round","Region","wSeed","Winner","WConf","WScore","LSeed","Loser","LConf","LScore","OT","SeD","ScD","Upset"
"139","15-Mar-97",1997,"32","West",4,"Saint Joseph's","A10",81,5,"Boston College","ACC",77,"1 OT",-1,4,"4 over 5"
"140","24-Mar-06",2006,"16","Midwest",1,"Villanova","BE",60,4,"Boston College","ACC",59,"1 OT",-3,1,"1 over 4"
"141","21-Mar-85",1985,"16","Midwest",2,"Memphis","Amer",59,11,"Boston College","ACC",57,"",-9,2,"2 over 11"
"142","17-Mar-01",2001,"32","East",6,"USC","P12",74,3,"Boston College","ACC",71,"",3,3,"6 over 3"
"143","15-Mar-02",2002,"64","Midwest",6,"Texas","B12",70,11,"Boston College","ACC",57,"",-5,13,"6 over 11"
"144","20-Mar-09",2009,"64","Midwest",10,"USC","P12",72,7,"Boston College","ACC",55,"",3,17,"10 over 7"
"145","17-Mar-07",2007,"32","East",2,"Georgetown","BE",62,7,"Boston College","ACC",55,"",-5,7,"2 over 7"
"146","27-Mar-94",1994,"8","East",3,"Florida","SEC",74,9,"Boston College","ACC",66,"",-6,8,"3 over 9"
"147","19-Mar-05",2005,"32","Midwest",12,"Milwaukee","Horz",83,4,"Boston College","ACC",75,"",8,8,"12 over 4"
"148","17-Mar-96",1996,"32","Southeast",3,"Georgia Tech","ACC",103,11,"Boston College","ACC",89,"",-8,14,"3 over 11"
"149","18-Mar-11",2011,"64","Southwest",1,"Kansas","B12",72,16,"Boston University","Pat",53,"",-15,19,"1 over 16"
"150","14-Mar-97",1997,"64","Midwest",5,"Tulsa","Amer",81,12,"Boston University","Pat",52,"",-7,29,"5 over 12"
"151","15-Mar-02",2002,"64","West",1,"Cincinnati","Amer",90,16,"Boston University","Pat",52,"",-15,38,"1 over 16"
"152","15-Mar-90",1990,"64","East",1,"Connecticut","Amer",76,16,"Boston University","Pat",52,"",-15,24,"1 over 16"
"153","17-Mar-88",1988,"64","East",2,"Duke","ACC",85,15,"Boston University","Pat",69,"",-13,16,"2 over 15"
"154","15-Mar-86",1986,"32","West",2,"Louisville","ACC",82,7,"Bradley","MVC",68,"",-5,14,"2 over 7"
"155","14-Mar-96",1996,"64","East",9,"Stanford","P12",66,8,"Bradley","MVC",58,"",1,8,"9 over 8"
"156","17-Mar-88",1988,"64","Southeast",8,"Auburn","SEC",90,9,"Bradley","MVC",86,"",-1,4,"8 over 9"
"157","23-Mar-06",2006,"16","West",1,"Memphis","Amer",80,13,"Bradley","MVC",64,"",-12,16,"1 over 13"
"158","14-Mar-86",1986,"64","East",2,"Syracuse","ACC",101,15,"Brown","Ivy",52,"",-13,49,"2 over 15"
"159","17-Mar-89",1989,"64","Midwest",2,"Syracuse","ACC",104,15,"Bucknell","Pat",81,"",-13,23,"2 over 15"
