Date,Year,Round,Region,wSeed,Winner,WScore,LSeed,Loser,LScore,OT
20-Mar-86,1986,16,Southeast,11,LSU,70,2,Georgia Tech,64,
21-Mar-86,1986,16,East,1,Duke,74,12,DePaul,67,
21-Mar-86,1986,16,East,7,Navy,71,14,Cleveland St.,70,
21-Mar-86,1986,16,Midwest,1,Kansas,96,5,Michigan St.,86,1 OT
21-Mar-86,1986,16,Midwest,6,North Carolina St.,70,7,Iowa St.,66,
12-Mar-87,1987,64,Midwest,13,Xavier,70,4,Missouri,69,
22-Mar-86,1986,8,West,2,Louisville,84,8,Auburn,76,
23-Mar-86,1986,8,East,1,Duke,71,7,Navy,50,
23-Mar-86,1986,8,Midwest,1,Kansas,75,6,North Carolina St.,67,
29-Mar-86,1986,4,Final Four,1,Duke,71,1,Kansas,67,
29-Mar-86,1986,4,Final Four,2,Louisville,88,11,LSU,77,
13-Mar-87,1987,64,Southeast,13,Missouri St.,65,4,Clemson,60,
12-Mar-87,1987,64,East,1,North Carolina,113,16,Penn,82,
12-Mar-87,1987,64,East,4,TCU,76,13,Marshall,60,
12-Mar-87,1987,64,East,5,Notre Dame,84,12,Middle Tennessee,71,
18-Mar-88,1988,64,East,13,Richmond,72,4,Indiana,69,
12-Mar-87,1987,64,Midwest,1,Indiana,92,16,Fairfield,58,
12-Mar-87,1987,64,Midwest,5,Duke,58,12,Texas A&M,51,
12-Mar-87,1987,64,Midwest,8,Auburn,62,9,San Diego,61,
16-Mar-89,1989,64,Southeast,13,Middle Tennessee,97,4,Florida St.,83,
12-Mar-87,1987,64,Southeast,2,Alabama,88,15,North Carolina A&T,71,
12-Mar-87,1987,64,Southeast,6,Providence,90,11,UAB,68,
12-Mar-87,1987,64,Southeast,7,New Orleans,83,10,BYU,79,
15-Mar-91,1991,64,East,13,Penn St.,74,4,UCLA,69,
12-Mar-87,1987,64,West,1,UNLV,95,16,Idaho St.,70,
12-Mar-87,1987,64,West,4,UCLA,92,13,Central Michigan,73,
20-Mar-92,1992,64,West,13,Louisiana Lafayette,87,4,Oklahoma,83,
19-Mar-93,1993,64,West,13,Southern,93,4,Georgia Tech,78,
13-Mar-87,1987,64,East,2,Syracuse,79,15,Georgia Southern,73,
13-Mar-87,1987,64,East,3,Purdue,104,14,Northeastern,95,
13-Mar-87,1987,64,East,6,Florida,82,11,North Carolina St.,70,
16-Mar-95,1995,64,Southeast,13,Manhattan,77,4,Oklahoma,67,
13-Mar-87,1987,64,Midwest,2,Temple,75,15,Southern,56,
13-Mar-87,1987,64,Midwest,3,DePaul,76,14,Louisiana Tech,62,
13-Mar-87,1987,64,Midwest,6,St. John's,57,11,Wichita St.,55,
14-Mar-96,1996,64,Southeast,13,Princeton,43,4,UCLA,41,
13-Mar-87,1987,64,Southeast,1,Georgetown,75,16,Bucknell,53,
13-Mar-87,1987,64,Southeast,5,Kansas,66,12,Houston,55,
13-Mar-98,1998,64,Midwest,13,Valparaiso,70,4,Mississippi,69,
12-Mar-99,1999,64,Midwest,13,Oklahoma,61,4,Arizona,60,
13-Mar-87,1987,64,West,2,Iowa,99,15,Santa Clara,76,
13-Mar-87,1987,64,West,3,Pittsburgh,93,14,Marist,68,
13-Mar-87,1987,64,West,6,Oklahoma,74,11,Tulsa,69,
13-Mar-87,1987,64,West,7,UTEP,98,10,Arizona,91,1 OT
14-Mar-87,1987,32,East,1,North Carolina,109,9,Michigan,97,
15-Mar-01,2001,64,West,13,Kent St.,77,4,Indiana,73,
14-Mar-87,1987,32,Midwest,1,Indiana,107,8,Auburn,90,
14-Mar-87,1987,32,Midwest,5,Duke,65,13,Xavier,60,
14-Mar-87,1987,32,Southeast,2,Alabama,101,7,New Orleans,76,
14-Mar-87,1987,32,Southeast,6,Providence,90,14,Austin Peay,87,1 OT
14-Mar-87,1987,32,West,1,UNLV,80,9,Kansas St.,61,
16-Mar-01,2001,64,South,13,Indiana St.,70,4,Oklahoma,68,1 OT
15-Mar-87,1987,32,East,2,Syracuse,104,10,Western Kentucky,86,
14-Mar-02,2002,64,South,13,UNC Wilmington,93,4,USC,89,1 OT
15-Mar-87,1987,32,Midwest,3,DePaul,83,6,St. John's,75,1 OT
20-Mar-03,2003,64,Midwest,13,Tulsa,84,4,Dayton,71,
15-Mar-87,1987,32,Southeast,1,Georgetown,82,9,Ohio St.,79,
15-Mar-87,1987,32,Southeast,5,Kansas,67,13,Missouri St.,63,
15-Mar-87,1987,32,West,2,Iowa,84,7,UTEP,82,
18-Mar-05,2005,64,South,13,Vermont,60,4,Syracuse,57,1 OT
19-Mar-87,1987,16,East,1,North Carolina,74,5,Notre Dame,68,
19-Mar-87,1987,16,East,2,Syracuse,87,6,Florida,81,
19-Mar-87,1987,16,Southeast,1,Georgetown,70,5,Kansas,57,
17-Mar-06,2006,64,West,13,Bradley,77,4,Kansas,73,
20-Mar-87,1987,16,Midwest,1,Indiana,88,5,Duke,82,
21-Mar-08,2008,64,Midwest,13,Siena,83,4,Vanderbilt,62,
20-Mar-87,1987,16,West,1,UNLV,92,12,Wyoming,78,
20-Mar-87,1987,16,West,2,Iowa,93,6,Oklahoma,91,1 OT
21-Mar-08,2008,64,West,13,San Diego,70,4,Connecticut,69,1 OT
20-Mar-09,2009,64,Midwest,13,Cleveland St.,84,4,Wake Forest,69,
22-Mar-87,1987,8,Midwest,1,Indiana,77,10,LSU,76,
22-Mar-87,1987,8,West,1,UNLV,84,2,Iowa,81,
28-Mar-87,1987,4,Final Four,1,Indiana,97,1,UNLV,93,
28-Mar-87,1987,4,Final Four,2,Syracuse,77,6,Providence,63,
30-Mar-87,1987,Champ,Championship,1,Indiana,74,2,Syracuse,73,
17-Mar-88,1988,64,East,2,Duke,85,15,Boston University,69,
17-Mar-88,1988,64,East,3,Syracuse,69,14,North Carolina A&T,55,
17-Mar-88,1988,64,East,7,SMU,83,10,Notre Dame,75,
18-Mar-10,2010,64,West,13,Murray St.,66,4,Vanderbilt,65,
17-Mar-88,1988,64,Midwest,1,Purdue,94,16,Fairleigh Dickinson,79,
17-Mar-88,1988,64,Midwest,4,Kansas St.,66,13,La Salle,53,
17-Mar-88,1988,64,Midwest,5,DePaul,83,12,Wichita St.,62,
17-Mar-11,2011,64,Southwest,13,Morehead St.,62,4,Louisville,61,
17-Mar-88,1988,64,Southeast,1,Oklahoma,94,16,Chattanooga,66,
17-Mar-88,1988,64,Southeast,4,BYU,98,13,Charlotte,92,1 OT
17-Mar-88,1988,64,Southeast,5,Louisville,70,12,Oregon St.,61,
17-Mar-88,1988,64,Southeast,8,Auburn,90,9,Bradley,86,
17-Mar-88,1988,64,West,2,North Carolina,83,15,North Texas,65,
17-Mar-88,1988,64,West,3,Michigan,63,14,Boise St.,58,
17-Mar-88,1988,64,West,6,Florida,62,11,St. John's,59,
16-Mar-12,2012,64,Midwest,13,Ohio,65,4,Michigan,60,
18-Mar-88,1988,64,East,1,Temple,87,16,Lehigh,73,
18-Mar-88,1988,64,East,5,Georgia Tech,90,12,Iowa St.,78,
18-Mar-88,1988,64,East,8,Georgetown,66,9,LSU,63,
22-Mar-13,2013,64,West,13,La Salle,63,4,Kansas St.,61,
18-Mar-88,1988,64,Midwest,2,Pittsburgh,108,15,Eastern Michigan,90,
18-Mar-88,1988,64,Midwest,6,Kansas,85,11,Xavier,72,
18-Mar-88,1988,64,Midwest,7,Vanderbilt,80,10,Utah St.,77,
18-Mar-16,2016,64,South,13,Hawaii,77,4,California,66,
18-Mar-88,1988,64,Southeast,2,Kentucky,99,15,Southern,84,
18-Mar-88,1988,64,Southeast,3,Illinois,81,14,UTSA,72,
18-Mar-88,1988,64,Southeast,6,Villanova,82,11,Arkansas,74,
18-Mar-88,1988,64,Southeast,7,Maryland,92,10,UC Santa Barbara,82,
18-Mar-88,1988,64,West,1,Arizona,90,16,Cornell,50,
18-Mar-88,1988,64,West,4,UNLV,54,13,Missouri St.,50,
18-Mar-88,1988,64,West,5,Iowa,102,12,Florida St.,98,
18-Mar-88,1988,64,West,8,Seton Hall,80,9,UTEP,64,
19-Mar-88,1988,32,East,2,Duke,94,7,SMU,79,
27-Mar-16,2016,8,Midwest,10,Syracuse,68,1,Virginia,62,
19-Mar-88,1988,32,Midwest,1,Purdue,100,9,Memphis,73,
19-Mar-88,1988,32,Midwest,4,Kansas St.,66,5,DePaul,58,
19-Mar-88,1988,32,Southeast,1,Oklahoma,107,8,Auburn,87,
23-Mar-17,2017,16,West,11,Xavier,73,2,Arizona,71,
19-Mar-88,1988,32,West,2,North Carolina,123,10,Loyola Marymount,97,
19-Mar-88,1988,32,West,3,Michigan,108,6,Florida,85,
20-Mar-88,1988,32,East,1,Temple,74,8,Georgetown,53,
16-Mar-85,1985,32,Southeast,11,Auburn,66,3,Kansas,64,
20-Mar-88,1988,32,Midwest,6,Kansas,61,14,Murray St.,58,
16-Mar-85,1985,32,West,12,Kentucky,64,4,UNLV,61,
20-Mar-88,1988,32,Southeast,2,Kentucky,90,7,Maryland,81,
17-Mar-85,1985,32,Midwest,11,Boston College,74,3,Duke,73,
20-Mar-88,1988,32,West,1,Arizona,84,8,Seton Hall,55,
15-Mar-86,1986,32,East,12,DePaul,74,4,Oklahoma,69,
24-Mar-88,1988,16,East,1,Temple,69,13,Richmond,47,
24-Mar-88,1988,16,East,2,Duke,73,11,Rhode Island,72,
24-Mar-88,1988,16,Southeast,1,Oklahoma,108,5,Louisville,98,
15-Mar-86,1986,32,Southeast,11,LSU,83,3,Memphis,81,
16-Mar-86,1986,32,East,14,Cleveland St.,75,6,Saint Joseph's,69,
25-Mar-88,1988,16,Midwest,6,Kansas,77,7,Vanderbilt,64,
25-Mar-88,1988,16,West,1,Arizona,99,5,Iowa,79,
25-Mar-88,1988,16,West,2,North Carolina,78,3,Michigan,69,
14-Mar-87,1987,32,West,12,Wyoming,78,4,UCLA,68,
26-Mar-88,1988,8,Southeast,1,Oklahoma,78,6,Villanova,59,
15-Mar-87,1987,32,Midwest,10,LSU,72,2,Temple,62,
27-Mar-88,1988,8,West,1,Arizona,70,2,North Carolina,52,
2-Apr-88,1988,4,Final Four,1,Oklahoma,86,1,Arizona,78,
19-Mar-88,1988,32,East,11,Rhode Island,97,3,Syracuse,94,
20-Mar-88,1988,32,East,13,Richmond,59,5,Georgia Tech,55,
16-Mar-89,1989,64,East,2,Duke,90,15,South Carolina St.,69,
16-Mar-89,1989,64,East,7,West Virginia,84,10,Tennessee,68,
17-Mar-90,1990,32,West,12,Ball St.,62,4,Louisville,60,
18-Mar-90,1990,32,Midwest,10,Texas,73,2,Purdue,72,
16-Mar-89,1989,64,Midwest,1,Illinois,77,16,McNeese St.,71,
16-Mar-89,1989,64,Midwest,4,Louisville,76,13,Arkansas Little Rock,71,
16-Mar-89,1989,64,Midwest,5,Arkansas,120,12,Loyola Marymount,101,
18-Mar-90,1990,32,West,11,Loyola Marymount,149,3,Michigan,115,
16-Mar-89,1989,64,Southeast,1,Oklahoma,72,16,East Tennessee St.,71,
16-Mar-89,1989,64,Southeast,5,Virginia,100,12,Providence,97,
22-Mar-92,1992,32,Midwest,9,UTEP,66,1,Kansas,60,
19-Mar-94,1994,32,Midwest,10,Maryland,95,2,Massachusetts,87,
16-Mar-89,1989,64,West,1,Arizona,94,16,Robert Morris,60,
16-Mar-89,1989,64,West,4,UNLV,68,13,Idaho,56,
20-Mar-94,1994,32,East,9,Boston College,75,1,North Carolina,72,
20-Mar-94,1994,32,Midwest,12,Tulsa,82,4,Oklahoma St.,80,
17-Mar-89,1989,64,East,1,Georgetown,50,16,Princeton,49,
17-Mar-89,1989,64,East,4,Iowa,87,13,Rutgers,73,
17-Mar-89,1989,64,East,5,North Carolina St.,81,12,South Carolina,66,
16-Mar-96,1996,32,East,12,Arkansas,65,4,Marquette,56,
17-Mar-89,1989,64,Midwest,2,Syracuse,104,15,Bucknell,81,
17-Mar-89,1989,64,Midwest,3,Missouri,85,14,Creighton,69,
16-Mar-97,1997,32,Southeast,10,Providence,98,2,Duke,87,
16-Mar-97,1997,32,Southeast,14,Chattanooga,75,6,Illinois,63,
17-Mar-89,1989,64,Southeast,2,North Carolina,93,15,Southern,79,
17-Mar-89,1989,64,Southeast,3,Michigan,92,14,Xavier,87,
17-Mar-89,1989,64,Southeast,7,UCLA,84,10,Iowa St.,74,
14-Mar-98,1998,32,West,10,West Virginia,75,2,Cincinnati,74,
17-Mar-89,1989,64,West,2,Indiana,99,15,George Mason,85,
17-Mar-89,1989,64,West,3,Seton Hall,60,14,Missouri St.,51,
17-Mar-89,1989,64,West,7,UTEP,85,10,LSU,74,
13-Mar-99,1999,32,West,10,Gonzaga,82,2,Stanford,74,
18-Mar-89,1989,32,East,2,Duke,70,7,West Virginia,63,
18-Mar-89,1989,32,East,11,Minnesota,80,14,Siena,67,
18-Mar-89,1989,32,Midwest,1,Illinois,72,9,Ball St.,60,
18-Mar-89,1989,32,Midwest,4,Louisville,93,5,Arkansas,84,
18-Mar-89,1989,32,Southeast,1,Oklahoma,124,9,Louisiana Tech,81,
18-Mar-89,1989,32,Southeast,5,Virginia,104,13,Middle Tennessee,88,
18-Mar-89,1989,32,West,1,Arizona,94,9,Clemson,68,
18-Mar-89,1989,32,West,4,UNLV,85,12,DePaul,70,
19-Mar-89,1989,32,East,1,Georgetown,81,9,Notre Dame,74,
14-Mar-99,1999,32,East,10,Purdue,73,2,Miami FL,63,
19-Mar-89,1989,32,Midwest,2,Syracuse,65,10,Colorado St.,50,
19-Mar-89,1989,32,Midwest,3,Missouri,108,11,Texas,89,
19-Mar-89,1989,32,Southeast,2,North Carolina,88,7,UCLA,81,
19-Mar-89,1989,32,Southeast,3,Michigan,91,11,South Alabama,82,
19-Mar-89,1989,32,West,2,Indiana,92,7,UTEP,69,
19-Mar-89,1989,32,West,3,Seton Hall,87,11,Evansville,73,
14-Mar-99,1999,32,East,12,Missouri St.,81,4,Tennessee,51,
14-Mar-99,1999,32,Midwest,10,Miami OH,66,2,Utah,58,
