,Student ID,Duration,2017 Fall Math 221 Unit 1 Exam,Duration,2017 Fall Math 221 Exam 2,Duration,2017 Fall Math 221 Exam 3,Duration,2017 Fall Math 221 Exam 4,,,,,
Total Points,,,,,,,,,,,,,Min,Score
,,  24 min ,28,  55 min ,25.92,  58 min ,20.75, 1 hrs 31 min ,37.33,,0,24,24,73.68421053
,,  37 min ,30, 1 hrs 3 min ,22.5, 1 hrs 15 min ,23.17, 1 hrs 18 min ,31.67,,0,37,37,78.94736842
,,  40 min ,21,  50 min ,30,  35 min ,29.83,  47 min ,35.54,,0,40,40,55.26315789
,, 1 hrs 10 min ,28, 1 hrs 24 min ,29.42, 1 hrs 12 min ,28.67, 1 hrs 38 min ,33.71,,1,10,70,73.68421053
,,  44 min ,36, 1 hrs 7 min ,36.92, 3 hrs 34 min ,34.95,  59 min ,37.5,,0,44,44,94.73684211
,,  48 min ,34,  46 min ,38,  44 min ,37, 1 hrs 5 min ,36.88,,0,48,48,89.47368421
,,  27 min ,26,  49 min ,19,  45 min ,29.83,  47 min ,28.04,,0,27,27,68.42105263
,,  58 min ,32, 1 hrs 1 min ,24.58, 1 hrs 20 min ,25.17, 1 hrs 14 min ,28.88,,0,58,58,84.21052632
,, 1 hrs 3 min ,28, 1 hrs 40 min ,26.5, 2 hrs 2 min ,24.67, 1 hrs 18 min ,30.83,,1,3,63,73.68421053
,,  22 min ,26,  34 min ,25.5,  32 min ,26.17,  23 min ,30.38,,0,22,22,68.42105263
,,  47 min ,35, 1 hrs 9 min ,26.5, 1 hrs 23 min ,34,  58 min ,35.71,,0,47,47,92.10526316
,, 1 hrs 10 min ,37, 1 hrs 6 min ,37.67,  48 min ,39,  56 min ,37,,1,10,70,97.36842105
,,  39 min ,31,  43 min ,27.67,  52 min ,34.33, 1 hrs 6 min ,38.83,,0,39,39,81.57894737
,,  49 min ,36, 2 hrs 8 min ,36.33, 1 hrs 35 min ,35.08, 1 hrs 24 min ,42,,0,49,49,94.73684211
,,  50 min ,30, 1 hrs 38 min ,24.5, 1 hrs 24 min ,36.33, 1 hrs 23 min ,34.21,,0,50,50,78.94736842
,,  43 min ,29, 1 hrs 6 min ,23.83, 1 hrs 4 min ,33,  36 min ,27.71,,0,43,43,76.31578947
,,  30 min ,37, 1 hrs 1 min ,34.33,  44 min ,36.33,  49 min ,39.33,,0,30,30,97.36842105
,,  29 min ,36, 1 hrs 3 min ,38.67, 10 hrs 20 min ,36.33,  50 min ,39.04,,0,29,29,94.73684211
,,  56 min ,36,  59 min ,38,  54 min ,36.33,  48 min ,41,,0,56,56,94.73684211
,,  51 min ,32, 1 hrs 10 min ,31.33, 1 hrs 9 min ,31.17, 1 hrs 23 min ,28.04,,0,51,51,84.21052632
,,  50 min ,32.5, 1 hrs 28 min ,33.33, 1 hrs 8 min ,35.58,  54 min ,41.54,,0,50,50,85.52631579
,,  40 min ,24,  50 min ,28,  53 min ,28.25,  42 min ,21.79,,0,40,40,63.15789474
,,  45 min ,36, 1 hrs 27 min ,39, 1 hrs 27 min ,40.33, 1 hrs 9 min ,42.67,,0,45,45,94.73684211
,, 11 hrs 25 min ,33, 12 hrs 36 min ,24.17, 9 hrs 12 min ,23.5, 1 hrs 1 min ,31.17,,1,25,85,86.84210526
,, 11 hrs 56 min ,12, 14 hrs  ,21.75, 1 hrs 37 min ,25, 1 hrs 48 min ,32.33,,1,56,116,31.57894737
,, 1 hrs 30 min ,33, 1 hrs 28 min ,38.33, 1 hrs 7 min ,35, 1 hrs 4 min ,37.67,,1,30,90,86.84210526
,,  43 min ,23,  35 min ,15.67, 13 hrs 13 min ,12.33,  22 min ,18.38,,0,43,43,60.52631579
,,  25 min ,34,  53 min ,34,  37 min ,32,  33 min ,39,,0,25,25,89.47368421
,,  17 min ,33,  24 min ,32,  39 min ,29.67,  24 min ,28.54,,0,17,17,86.84210526
,,  52 min ,31.5,  47 min ,34,  51 min ,29.67,  39 min ,33.75,,0,52,52,82.89473684
,,  33 min ,32, 1 hrs 7 min ,22.42,  46 min ,33.17,  41 min ,28.42,,0,33,33,84.21052632
,,  49 min ,38,  48 min ,33.33,  50 min ,34.5,  54 min ,39.67,,0,49,49,100
,, 1 hrs  ,30,  54 min ,23.92, 1 hrs 27 min ,36.83, 1 hrs 16 min ,25.5,,1,0,60,78.94736842
,, 1 hrs 23 min ,32, 1 hrs 54 min ,36, 1 hrs 21 min ,35.5, 1 hrs 9 min ,34.58,,1,23,83,84.21052632
,,  42 min ,38,  59 min ,25.92, 1 hrs 6 min ,29.25, 1 hrs 4 min ,40,,0,42,42,100
,,  36 min ,32,  55 min ,34,  56 min ,36.83, 1 hrs 2 min ,37.04,,0,36,36,84.21052632
,,  48 min ,22, 1 hrs 6 min ,33,  56 min ,34.42, 1 hrs 11 min ,39,,0,48,48,57.89473684
,,  53 min ,32, 1 hrs 22 min ,30.67,  58 min ,26.67, 1 hrs 6 min ,29.62,,0,53,53,84.21052632
,, 1 hrs 5 min ,27, 1 hrs 17 min ,26.58, 1 hrs 21 min ,26.58, 1 hrs 53 min ,37.67,,1,5,65,71.05263158
,,  34 min ,33,  49 min ,35.33,  48 min ,30.83, 1 hrs 5 min ,35,,0,34,34,86.84210526
,,  52 min ,28, 1 hrs 44 min ,29.33,  57 min ,33, 1 hrs 4 min ,30.58,,0,52,52,73.68421053
,, 1 hrs 52 min ,32, 2 hrs 16 min ,33, 2 hrs 11 min ,29.67, 1 hrs 35 min ,33.5,,1,52,112,84.21052632
,,  44 min ,33, 1 hrs 4 min ,29.17,  50 min ,33.83, 1 hrs 3 min ,36.75,,0,44,44,86.84210526
,,  37 min ,32, 1 hrs 25 min ,28.67,  39 min ,30.17, 1 hrs 16 min ,36.21,,0,37,37,84.21052632
,,  29 min ,33,  54 min ,34,  38 min ,32.33, 1 hrs 4 min ,37.54,,0,29,29,86.84210526
,,  47 min ,27,  48 min ,31.5, 1 hrs 7 min ,34,  59 min ,38.08,,0,47,47,71.05263158
,,  33 min ,35.5, 1 hrs 3 min ,35.5,  58 min ,35,  51 min ,38.71,,0,33,33,93.42105263
,, 1 hrs 10 min ,35, 1 hrs 21 min ,36.5, 1 hrs 11 min ,38.5, 1 hrs 13 min ,38.83,,1,10,70,92.10526316
,,  36 min ,38,  56 min ,34, 1 hrs  ,41,  53 min ,40.33,,0,36,36,100
,,  28 min ,30, 1 hrs 5 min ,34.67,  40 min ,32.33,  37 min ,31.71,,0,28,28,78.94736842
,,  38 min ,35, 1 hrs 21 min ,40,  51 min ,39,  51 min ,44,,0,38,38,92.10526316
,,  58 min ,25,  39 min ,15.83,  55 min ,29.5,  59 min ,29.04,,0,58,58,65.78947368
,, 1 hrs 12 min ,28,  49 min ,29.67,  38 min ,33.33, 1 hrs 22 min ,36.08,,1,12,72,73.68421053
,,  30 min ,35,  50 min ,32.25,  43 min ,29.5,  52 min ,32.88,,0,30,30,92.10526316
,, 12 hrs 54 min ,28, 1 hrs 11 min ,24.17,  57 min ,24.75, 1 hrs 11 min ,30.21,,2,54,174,73.68421053
,,  51 min ,34, 1 hrs 15 min ,26.83, 1 hrs 5 min ,36.33, 1 hrs 2 min ,34,,0,51,51,89.47368421
,,  44 min ,28, 1 hrs 10 min ,18.33,  44 min ,26, 1 hrs 6 min ,31,,0,44,44,73.68421053
,,  43 min ,35, 1 hrs 10 min ,31.33,  57 min ,40.67, 1 hrs 29 min ,33.17,,0,43,43,92.10526316
,,  41 min ,29, 1 hrs 20 min ,33.83,  53 min ,35.33,  58 min ,39,,0,41,41,76.31578947
,, 1 hrs 8 min ,33, 1 hrs 24 min ,32, 1 hrs 12 min ,33.5, 1 hrs 20 min ,33.67,,1,8,68,86.84210526
,,  50 min ,27, 1 hrs 2 min ,27.25,  47 min ,19.58, 1 hrs 19 min ,30.92,,0,50,50,71.05263158
,,  46 min ,36, 1 hrs 5 min ,35.67, 1 hrs 8 min ,36.08,  59 min ,39.67,,0,46,46,94.73684211
,, 1 hrs 10 min ,32, 1 hrs 31 min ,29.33, 1 hrs 21 min ,30.67, 1 hrs 38 min ,35.88,,1,10,70,84.21052632
