Index,Date,Year,Round,Region,wSeed,Winner,WConf,WScore,LSeed,Loser,LConf,LScore,OT,SeD,ScD,Upset
152,13-Mar-87,1987,64,East,6,Florida,SEC,82,11,North Carolina St.,ACC,70,,-5,12,6 over 11
153,13-Mar-87,1987,64,East,3,Purdue,B10,104,14,Northeastern,CAA,95,,-11,9,3 over 14
154,13-Mar-87,1987,64,West,2,Iowa,B10,99,15,Santa Clara,WCC,76,,-13,23,2 over 15
155,13-Mar-87,1987,64,Midwest,2,Temple,Amer,75,15,Southern,SWAC,56,,-13,19,2 over 15
156,13-Mar-87,1987,64,West,6,Oklahoma,B12,74,11,Tulsa,Amer,69,,-5,5,6 over 11
157,13-Mar-87,1987,64,East,10,Western Kentucky,CUSA,64,7,West Virginia,B12,62,,3,2,10 over 7
158,13-Mar-87,1987,64,Midwest,6,St. John's,BE,57,11,Wichita St.,MVC,55,,-5,2,6 over 11
159,14-Mar-87,1987,32,Midwest,1,Indiana,B10,107,8,Auburn,SEC,90,,-7,17,1 over 8
160,14-Mar-87,1987,32,Southeast,6,Providence,BE,90,14,Austin Peay,OVC,87,1 OT,-8,3,6 over 14
161,14-Mar-87,1987,32,West,1,UNLV,MWC,80,9,Kansas St.,B12,61,,-8,19,1 over 9
162,14-Mar-87,1987,32,East,1,North Carolina,ACC,109,9,Michigan,B10,97,,-8,12,1 over 9
163,14-Mar-87,1987,32,Southeast,2,Alabama,SEC,101,7,New Orleans,Slnd,76,,-5,25,2 over 7
164,14-Mar-87,1987,32,East,5,Notre Dame,ACC,58,4,TCU,B12,57,,1,1,5 over 4
165,14-Mar-87,1987,32,West,12,Wyoming,MWC,78,4,UCLA,P12,68,,8,10,12 over 4
166,14-Mar-87,1987,32,Midwest,5,Duke,ACC,65,13,Xavier,BE,60,,-8,5,5 over 13
167,15-Mar-87,1987,32,Southeast,5,Kansas,B12,67,13,Missouri St.,MVC,63,,-8,4,5 over 13
168,15-Mar-87,1987,32,Southeast,1,Georgetown,BE,82,9,Ohio St.,B10,79,,-8,3,1 over 9
169,15-Mar-87,1987,32,West,6,Oklahoma,B12,96,3,Pittsburgh,ACC,93,,3,3,6 over 3
170,15-Mar-87,1987,32,East,6,Florida,SEC,85,3,Purdue,B10,66,,3,19,6 over 3
171,15-Mar-87,1987,32,Midwest,3,DePaul,BE,83,6,St. John's,BE,75,1 OT,-3,8,3 over 6
172,15-Mar-87,1987,32,Midwest,10,LSU,SEC,72,2,Temple,Amer,62,,8,10,10 over 2
173,15-Mar-87,1987,32,West,2,Iowa,B10,84,7,UTEP,CUSA,82,,-5,2,2 over 7
174,15-Mar-87,1987,32,East,2,Syracuse,ACC,104,10,Western Kentucky,CUSA,86,,-8,18,2 over 10
175,19-Mar-87,1987,16,Southeast,6,Providence,BE,103,2,Alabama,SEC,82,,4,21,6 over 2
176,19-Mar-87,1987,16,East,2,Syracuse,ACC,87,6,Florida,SEC,81,,-4,6,2 over 6
177,19-Mar-87,1987,16,Southeast,1,Georgetown,BE,70,5,Kansas,B12,57,,-4,13,1 over 5
178,19-Mar-87,1987,16,East,1,North Carolina,ACC,74,5,Notre Dame,ACC,68,,-4,6,1 over 5
179,20-Mar-87,1987,16,Midwest,10,LSU,SEC,63,3,DePaul,BE,58,,7,5,10 over 3
180,20-Mar-87,1987,16,Midwest,1,Indiana,B10,88,5,Duke,ACC,82,,-4,6,1 over 5
181,20-Mar-87,1987,16,West,2,Iowa,B10,93,6,Oklahoma,B12,91,1 OT,-4,2,2 over 6
182,20-Mar-87,1987,16,West,1,UNLV,MWC,92,12,Wyoming,MWC,78,,-11,14,1 over 12
183,21-Mar-87,1987,8,Southeast,6,Providence,BE,88,1,Georgetown,BE,73,,5,15,6 over 1
184,21-Mar-87,1987,8,East,2,Syracuse,ACC,79,1,North Carolina,ACC,75,,1,4,2 over 1
185,22-Mar-87,1987,8,West,1,UNLV,MWC,84,2,Iowa,B10,81,,-1,3,1 over 2
186,22-Mar-87,1987,8,Midwest,1,Indiana,B10,77,10,LSU,SEC,76,,-9,1,1 over 10
187,28-Mar-87,1987,4,Final Four,2,Syracuse,ACC,77,6,Providence,BE,63,,-4,14,2 over 6
188,28-Mar-87,1987,4,Final Four,1,Indiana,B10,97,1,UNLV,MWC,93,,0,4,1 over 1
189,30-Mar-87,1987,Champ,Championship,1,Indiana,B10,74,2,Syracuse,ACC,73,,-1,1,1 over 2
190,17-Mar-88,1988,64,Midwest,9,Memphis,Amer,75,8,Baylor,B12,60,,1,15,9 over 8
191,17-Mar-88,1988,64,West,3,Michigan,B10,63,14,Boise St.,MWC,58,,-11,5,3 over 14
192,17-Mar-88,1988,64,East,2,Duke,ACC,85,15,Boston University,Pat,69,,-13,16,2 over 15
193,17-Mar-88,1988,64,Southeast,8,Auburn,SEC,90,9,Bradley,MVC,86,,-1,4,8 over 9
194,17-Mar-88,1988,64,Southeast,4,BYU,WCC,98,13,Charlotte,CUSA,92,1 OT,-9,6,4 over 13
195,17-Mar-88,1988,64,Southeast,1,Oklahoma,B12,94,16,Chattanooga,SC,66,,-15,28,1 over 16
196,17-Mar-88,1988,64,Midwest,1,Purdue,B10,94,16,Fairleigh Dickinson,NEC,79,,-15,15,1 over 16
197,17-Mar-88,1988,64,Midwest,4,Kansas St.,B12,66,13,La Salle,A10,53,,-9,13,4 over 13
198,17-Mar-88,1988,64,East,11,Rhode Island,A10,87,6,Missouri,SEC,80,,5,7,11 over 6
199,17-Mar-88,1988,64,East,3,Syracuse,ACC,69,14,North Carolina A&T,MEAC,55,,-11,14,3 over 14
200,17-Mar-88,1988,64,West,2,North Carolina,ACC,83,15,North Texas,CUSA,65,,-13,18,2 over 15
201,17-Mar-88,1988,64,East,7,SMU,Amer,83,10,Notre Dame,ACC,75,,-3,8,7 over 10
202,17-Mar-88,1988,64,Southeast,5,Louisville,ACC,70,12,Oregon St.,P12,61,,-7,9,5 over 12
203,17-Mar-88,1988,64,West,6,Florida,SEC,62,11,St. John's,BE,59,,-5,3,6 over 11
204,17-Mar-88,1988,64,Midwest,5,DePaul,BE,83,12,Wichita St.,MVC,62,,-7,21,5 over 12
205,17-Mar-88,1988,64,West,10,Loyola Marymount,WCC,119,7,Wyoming,MWC,115,,3,4,10 over 7
206,18-Mar-88,1988,64,Southeast,6,Villanova,BE,82,11,Arkansas,SEC,74,,-5,8,6 over 11
207,18-Mar-88,1988,64,West,1,Arizona,P12,90,16,Cornell,Ivy,50,,-15,40,1 over 16
208,18-Mar-88,1988,64,Midwest,2,Pittsburgh,ACC,108,15,Eastern Michigan,MAC,90,,-13,18,2 over 15
209,18-Mar-88,1988,64,West,5,Iowa,B10,102,12,Florida St.,ACC,98,,-7,4,5 over 12
210,18-Mar-88,1988,64,East,13,Richmond,A10,72,4,Indiana,B10,69,,9,3,13 over 4
211,18-Mar-88,1988,64,East,5,Georgia Tech,ACC,90,12,Iowa St.,B12,78,,-7,12,5 over 12
212,18-Mar-88,1988,64,East,1,Temple,Amer,87,16,Lehigh,Pat,73,,-15,14,1 over 16
213,18-Mar-88,1988,64,East,8,Georgetown,BE,66,9,LSU,SEC,63,,-1,3,8 over 9
214,18-Mar-88,1988,64,West,4,UNLV,MWC,54,13,Missouri St.,MVC,50,,-9,4,4 over 13
215,18-Mar-88,1988,64,Midwest,14,Murray St.,OVC,78,3,North Carolina St.,ACC,75,,11,3,14 over 3
216,18-Mar-88,1988,64,Southeast,2,Kentucky,SEC,99,15,Southern,SWAC,84,,-13,15,2 over 15
217,18-Mar-88,1988,64,Southeast,7,Maryland,B10,92,10,UC Santa Barbara,BW,82,,-3,10,7 over 10
218,18-Mar-88,1988,64,Midwest,7,Vanderbilt,SEC,80,10,Utah St.,MWC,77,,-3,3,7 over 10
219,18-Mar-88,1988,64,West,8,Seton Hall,BE,80,9,UTEP,CUSA,64,,-1,16,8 over 9
220,18-Mar-88,1988,64,Southeast,3,Illinois,B10,81,14,UTSA,CUSA,72,,-11,9,3 over 14
221,18-Mar-88,1988,64,Midwest,6,Kansas,B12,85,11,Xavier,BE,72,,-5,13,6 over 11
