"","year","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","Factor","Dollar","Equivalent","Newbudget","Newgross"
"49",1986,0,"Metro-Goldwyn-Mayer (MGM)","USA","Peter Hyams","Action",38500726,"Running Scared","R","1986-06-27",107,6.5,"Gregory Hines",9344,"Gary DeVore",2.21,"$1,093.00 ","$2,414.32 ",0,85086604.46
"50",1986,0,"Hawn / Sylbert Movie Company","USA","Michael Ritchie","Comedy",26285544,"Wildcats","R","1986-02-14",106,5.9,"Goldie Hawn",10239,"Ezra Sacks",2.21,"$1,093.00 ","$2,414.32 ",0,58091052.24
"51",1986,111000,"Maljack Productions","USA","John McNaughton","Biography",609939,"Henry: Portrait of a Serial Killer","UNRATED","1990-09-07",83,7,"Michael Rooker",25367,"Richard Fire",2.21,"$1,093.00 ","$2,414.32 ",245310,1347965.19
"52",1986,1.8e+07,"ABC Motion Pictures","USA","Harry Winer","Adventure",9697739,"SpaceCamp","PG","1986-06-06",107,5.6,"Kate Capshaw",11484,"Clifford Green",2.21,"$1,093.00 ","$2,414.32 ",39780000,21432003.19
"53",1986,6400000,"Orion Pictures","USA","Woody Allen","Comedy",40084041,"Hannah and Her Sisters","PG-13","1986-03-14",107,8,"Mia Farrow",56988,"Woody Allen",2.21,"$1,093.00 ","$2,414.32 ",14144000,88585730.61
"54",1986,1.4e+07,"Walt Disney Pictures","USA","Ron Clements","Animation",38600000,"The Great Mouse Detective","G","1986-07-02",74,7.2,"Vincent Price",36539,"Peter Young",2.21,"$1,093.00 ","$2,414.32 ",30940000,85306000
"55",1986,8500000,"De Laurentiis Entertainment Group (DEG)","USA","John Irvin","Action",16209459,"Raw Deal","R","1986-06-06",106,5.5,"Arnold Schwarzenegger",24851,"Luciano Vincenzoni",2.21,"$1,093.00 ","$2,414.32 ",18785000,35822904.39
"56",1986,6e+06,"Sunbow Productions","USA","Nelson Shin","Animation",5849647,"The Transformers: The Movie","PG","1986-08-08",84,7.3,"Orson Welles",33609,"Ron Friedman",2.21,"$1,093.00 ","$2,414.32 ",13260000,12927719.87
"57",1986,0,"TaliaFilm II Productions","USA","Hal Needham","Drama",2015882,"Rad","PG","1986-03-28",91,7.2,"Bart Conner",4039,"Sam Bernard",2.21,"$1,093.00 ","$2,414.32 ",0,4455099.22
"58",1986,5e+06,"TriStar Pictures","USA","Fred Dekker","Comedy",591366,"Night of the Creeps","R","1986-08-22",88,6.8,"Jason Lively",16077,"Fred Dekker",2.21,"$1,093.00 ","$2,414.32 ",11050000,1306918.86
"59",1986,1.2e+07,"Cannon Pictures","USA","Tobe Hooper","Horror",4884663,"Invaders from Mars","PG","1986-06-06",100,5.5,"Karen Black",5878,"Richard Blake",2.21,"$1,093.00 ","$2,414.32 ",26520000,10795105.23
"60",1986,0,"Columbia Pictures Corporation","USA","Walter Hill","Drama",5839031,"Crossroads","R","1986-03-14",99,7.1,"Ralph Macchio",11415,"John Fusco",2.21,"$1,093.00 ","$2,414.32 ",0,12904258.51
"61",1986,6e+06,"De Haven Productions","UK","David Anspaugh","Drama",28607524,"Hoosiers","PG","1987-02-27",114,7.6,"Gene Hackman",36604,"Angelo Pizzo",2.21,"$1,093.00 ","$2,414.32 ",13260000,63222628.04
"62",1986,0,"Svenska Filminstitutet (SFI)","Sweden","Andrei Tarkovsky","Drama",300653,"Sacrifice","PG","1986-11",149,8.1,"Erland Josephson",16571,"Andrei Tarkovsky",2.21,"$1,093.00 ","$2,414.32 ",0,664443.13
"63",1986,6500000,"Cinema '85","USA","James Foley","Crime",2347000,"At Close Range","R","1986-04-18",111,7,"Sean Penn",11607,"Elliott Lewitt",2.21,"$1,093.00 ","$2,414.32 ",14365000,5186870
"64",1986,0,"Blueline Productions","USA","Peter Markle","Drama",15448384,"Youngblood","R","1986-01-31",110,6.1,"Rob Lowe",10412,"Peter Markle",2.21,"$1,093.00 ","$2,414.32 ",0,34140928.64
