Gender,Age,MTW,Female,MT
Female,23,Yes,1,1
Female,46,No,1,0
Female,67,Yes,1,1
Male,37,No,0,0
Male,43,Yes,0,1
Male,58,No,0,0
Female,62,No,1,0
Male,23,No,0,0
Female,55,Yes,1,1
Female,25,Yes,1,1
Male,22,No,0,0
Male,38,No,0,0
Female,60,No,1,0
Female,72,Yes,1,1
Female,70,Yes,1,1
Female,76,No,1,0
Female,73,Yes,1,1
Female,63,No,1,0
Female,55,Yes,1,1
Male,74,No,0,0
Male,65,Yes,0,1
Female,21,Yes,1,1
Male,60,No,0,0
Male,61,Yes,0,1
Female,56,Yes,1,1
Male,44,No,0,0
Male,32,No,0,0
Male,18,No,0,0
Female,82,Yes,1,1
Male,57,No,0,0
Female,55,No,1,0
Male,57,Yes,0,1
Male,52,Yes,0,1
Female,58,Yes,1,1
Female,57,Yes,1,1
Female,51,Yes,1,1
Female,72,No,1,0
Female,50,No,1,0
Male,74,No,0,0
Female,50,Yes,1,1
Male,28,No,0,0
Female,47,Yes,1,1
Female,55,Yes,1,1
Male,45,No,0,0
Male,67,No,0,0
Female,31,Yes,1,1
Male,20,Yes,0,1
Female,45,Yes,1,1
Male,66,No,0,0
Female,31,Yes,1,1
Female,81,No,1,0
Female,27,No,1,0
Female,50,No,1,0
Female,56,Yes,1,1
Male,41,No,0,0
Female,32,No,1,0
Male,27,No,0,0
Female,50,Yes,1,1
Female,52,No,1,0
Female,60,Yes,1,1
Female,78,Yes,1,1
Male,68,No,0,0
Female,75,No,1,0
Female,77,Yes,1,1
Female,70,No,1,0
Female,69,Yes,1,1
Male,77,No,0,0
Male,60,No,0,0
Male,37,No,0,0
Female,68,Yes,1,1
Female,73,Yes,1,1
Female,72,Yes,1,1
Female,68,Yes,1,1
Female,79,No,1,0
Male,76,Yes,0,1
Male,31,No,0,0
Female,65,Yes,1,1
Female,77,Yes,1,1
Male,18,No,0,0
Female,23,Yes,1,1
Female,23,Yes,1,1
Female,65,Yes,1,1
Female,34,No,1,0
Female,38,No,1,0
Female,56,Yes,1,1
Female,58,Yes,1,1
Male,35,No,0,0
Female,33,Yes,1,1
Female,32,Yes,1,1
Male,37,No,0,0
Female,34,Yes,1,1
Female,65,Yes,1,1
Female,94,Yes,1,1
Female,57,Yes,1,1
Male,86,Yes,0,1
Male,76,No,0,0
Female,75,Yes,1,1
Female,79,Yes,1,1
Female,34,Yes,1,1
Female,92,Yes,1,1
Male,78,Yes,0,1
Female,82,Yes,1,1
Male,65,No,0,0
Male,70,No,0,0
Male,66,No,0,0
Female,63,Yes,1,1
Female,62,Yes,1,1
Female,73,Yes,1,1
Female,78,Yes,1,1
Female,66,Yes,1,1
Male,69,Yes,0,1
Female,60,Yes,1,1
Female,85,No,1,0
Female,78,Yes,1,1
Female,68,No,1,0
Female,75,Yes,1,1
Female,85,Yes,1,1
Male,57,Yes,0,1
Female,60,Yes,1,1
Female,47,No,1,0
Female,79,Yes,1,1
Female,68,Yes,1,1
Male,73,No,0,0
Female,55,Yes,1,1
Male,54,No,0,0
Female,71,Yes,1,1
Male,64,Yes,0,1
Female,56,No,1,0
Female,65,Yes,1,1
Female,75,Yes,1,1
Male,57,No,0,0
Male,18,No,0,0
Female,32,Yes,1,1
Female,26,Yes,1,1
Male,57,Yes,0,1
Female,58,No,1,0
Female,66,Yes,1,1
