Index,Date,Year,Round,Region,wSeed,Winner,WConf,WScore,LSeed,Loser,LConf,LScore,OT
134,12-Mar-87,1987,64,East,5,Notre Dame,ACC,84,12,Middle Tennessee,CUSA,71,
135,12-Mar-87,1987,64,Midwest,13,Xavier,BE,70,4,Missouri,SEC,69,
136,12-Mar-87,1987,64,East,9,Michigan,B10,97,8,Navy,Pat,82,
137,12-Mar-87,1987,64,Southeast,2,Alabama,SEC,88,15,North Carolina A&T,MEAC,71,
138,12-Mar-87,1987,64,East,1,North Carolina,ACC,113,16,Penn,Ivy,82,
139,12-Mar-87,1987,64,Midwest,8,Auburn,SEC,62,9,San Diego,WCC,61,
140,12-Mar-87,1987,64,Midwest,5,Duke,ACC,58,12,Texas A&M,SEC,51,
141,12-Mar-87,1987,64,Southeast,6,Providence,BE,90,11,UAB,CUSA,68,
142,12-Mar-87,1987,64,West,12,Wyoming,MWC,64,5,Virginia,ACC,60,
143,13-Mar-87,1987,64,West,7,UTEP,CUSA,98,10,Arizona,P12,91,1 OT
144,13-Mar-87,1987,64,Southeast,1,Georgetown,BE,75,16,Bucknell,Pat,53,
145,13-Mar-87,1987,64,Southeast,13,Missouri St.,MVC,65,4,Clemson,ACC,60,
146,13-Mar-87,1987,64,East,2,Syracuse,ACC,79,15,Georgia Southern,SB,73,
147,13-Mar-87,1987,64,Midwest,10,LSU,SEC,85,7,Georgia Tech,ACC,79,
148,13-Mar-87,1987,64,Southeast,5,Kansas,B12,66,12,Houston,Amer,55,
149,13-Mar-87,1987,64,Southeast,9,Ohio St.,B10,91,8,Kentucky,SEC,77,
150,13-Mar-87,1987,64,Midwest,3,DePaul,BE,76,14,Louisiana Tech,CUSA,62,
151,13-Mar-87,1987,64,West,3,Pittsburgh,ACC,93,14,Marist,MAAC,68,
152,13-Mar-87,1987,64,East,6,Florida,SEC,82,11,North Carolina St.,ACC,70,
153,13-Mar-87,1987,64,East,3,Purdue,B10,104,14,Northeastern,CAA,95,
154,13-Mar-87,1987,64,West,2,Iowa,B10,99,15,Santa Clara,WCC,76,
155,13-Mar-87,1987,64,Midwest,2,Temple,Amer,75,15,Southern,SWAC,56,
156,13-Mar-87,1987,64,West,6,Oklahoma,B12,74,11,Tulsa,Amer,69,
157,13-Mar-87,1987,64,East,10,Western Kentucky,CUSA,64,7,West Virginia,B12,62,
158,13-Mar-87,1987,64,Midwest,6,St. John's,BE,57,11,Wichita St.,MVC,55,
159,14-Mar-87,1987,32,Midwest,1,Indiana,B10,107,8,Auburn,SEC,90,
160,14-Mar-87,1987,32,Southeast,6,Providence,BE,90,14,Austin Peay,OVC,87,1 OT
161,14-Mar-87,1987,32,West,1,UNLV,MWC,80,9,Kansas St.,B12,61,
162,14-Mar-87,1987,32,East,1,North Carolina,ACC,109,9,Michigan,B10,97,
163,14-Mar-87,1987,32,Southeast,2,Alabama,SEC,101,7,New Orleans,Slnd,76,
164,14-Mar-87,1987,32,East,5,Notre Dame,ACC,58,4,TCU,B12,57,
165,14-Mar-87,1987,32,West,12,Wyoming,MWC,78,4,UCLA,P12,68,
166,14-Mar-87,1987,32,Midwest,5,Duke,ACC,65,13,Xavier,BE,60,
167,15-Mar-87,1987,32,Southeast,5,Kansas,B12,67,13,Missouri St.,MVC,63,
168,15-Mar-87,1987,32,Southeast,1,Georgetown,BE,82,9,Ohio St.,B10,79,
169,15-Mar-87,1987,32,West,6,Oklahoma,B12,96,3,Pittsburgh,ACC,93,
170,15-Mar-87,1987,32,East,6,Florida,SEC,85,3,Purdue,B10,66,
171,15-Mar-87,1987,32,Midwest,3,DePaul,BE,83,6,St. John's,BE,75,1 OT
172,15-Mar-87,1987,32,Midwest,10,LSU,SEC,72,2,Temple,Amer,62,
173,15-Mar-87,1987,32,West,2,Iowa,B10,84,7,UTEP,CUSA,82,
174,15-Mar-87,1987,32,East,2,Syracuse,ACC,104,10,Western Kentucky,CUSA,86,
175,19-Mar-87,1987,16,Southeast,6,Providence,BE,103,2,Alabama,SEC,82,
176,19-Mar-87,1987,16,East,2,Syracuse,ACC,87,6,Florida,SEC,81,
177,19-Mar-87,1987,16,Southeast,1,Georgetown,BE,70,5,Kansas,B12,57,
178,19-Mar-87,1987,16,East,1,North Carolina,ACC,74,5,Notre Dame,ACC,68,
