"","X","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"6026",6323,2014,"2015-04-10","Lost River","Bold Films","USA","R","Drama",2,0.043282,2.08,0.04501328,-2.03498672,95,13654,5.8,"Ryan Gosling","Christina Hendricks","Ryan Gosling"
"6027",6324,2014,"2014-01-17","Locos por las nueces","Gulfstream Pictures","Canada","PG","Animation",42,64.251541,43.68,66.82160264,23.14160264,85,21922,5.8,"Peter Lepeniotis","Will Arnett","Lorne Cameron"
"6028",6325,2014,"2015-06-26","Escobar","Chapter 2","France","R","Crime",17,0.106869,17.68,0.11114376,-17.56885624,120,16839,6.6,"Andrea Di Stefano","Benicio Del Toro","Andrea Di Stefano"
"6029",6326,2014,"2014-10-10","'71","Crab Apple Films","UK","R","Action",0,1.26876,0,1.3195104,1.3195104,99,40959,7.2,"Yann Demange","Jack O'Connell","Gregory Burke"
"6030",6327,2014,"2014-09-25","Una Señal En La Tormenta","Desperate Pictures","France","R","Drama",0,0.033518,0,0.03485872,0.03485872,91,23303,6.4,"Gregg Araki","Shailene Woodley","Gregg Araki"
"6031",6328,2014,"2014-10-10","Addicted","Codeblack Entertainment","USA","R","Drama",5,17.382982,5.2,18.07830128,12.87830128,106,6772,5.2,"Bille Woodruff","Sharon Leal","Christina Welsh"
"6032",6329,2014,"2014-04-11","Rio 2","Twentieth Century Fox Animation","USA","G","Animation",103,131.538435,107.12,136.7999724,29.6799724,101,64550,6.3,"Carlos Saldanha","Jesse Eisenberg","Don Rhymer"
"6033",6330,2014,"2014-06-20","Jersey Boys","Four Seasons Partnership","USA","R","Biography",40,47.034272,41.6,48.91564288,7.31564288,134,27637,6.8,"Clint Eastwood","John Lloyd Young","Marshall Brickman"
"6034",6331,2014,"2014-07-25","Wish I Was Here","Worldview Entertainment","USA","R","Comedy",6,3.588432,6.24,3.73196928,-2.50803072,106,32275,6.7,"Zach Braff","Zach Braff","Adam J. Braff"
"6035",6332,2014,"2014-12-04","Dear White People","Code Red","USA","R","Comedy",0,4.404154,0,4.58032016,4.58032016,108,22518,6.2,"Justin Simien","Tyler James Williams","Justin Simien"
"6036",6333,2014,"2014-07-02","Tammy","Gary Sanchez Productions","USA","R","Comedy",20,84.525432,20.8,87.90644928,67.10644928,97,40108,4.9,"Ben Falcone","Melissa McCarthy","Melissa McCarthy"
"6037",6334,2014,"2014-11-06","Las nubes de María","CG Cinéma","France","R","Drama",0,1.811138,0,1.88358352,1.88358352,124,21703,6.7,"Olivier Assayas","Juliette Binoche","Olivier Assayas"
"6038",6335,2014,"2014-11-14","Saving Christmas","Camfam Studios","USA","PG","Comedy",0.5,2.78397,0.52,2.8953288,2.3753288,79,13059,1.5,"Darren Doane","Kirk Cameron","Darren Doane"
"6039",6336,2014,"2015-02-18","The Last Five Years","Lucky Monkey Pictures","USA","PG-13","Comedy",0,0.137945,0,0.1434628,0.1434628,94,7557,5.9,"Richard LaGravenese","Anna Kendrick","Jason Robert Brown"
