"","X","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"1033",1064,1990,"1990-02-16","Courage Mountain","Epic Productions","USA","PG","Family",0,1.39361,0,2.6617951,2.6617951,100,605,5.8,"Christopher Leitch","Juliette Caton","Fred Brogger"
"1034",1065,1990,"1990-01-12","Downtown","Twentieth Century Fox Film Corporation","USA","R","Action",10,2.34615,19.1,4.4811465,-14.6188535,96,1508,5.7,"Richard Benjamin","Anthony Edwards","Nat Mauldin"
"1035",1066,1990,"1990-03-23","The Fourth War","Aurora Productions LLC","USA","R","Drama",0,1.305887,0,2.49424417,2.49424417,91,1084,5.7,"John Frankenheimer","Roy Scheider","Stephen Peters"
"1036",1067,1990,"1990-10-12","To Sleep with Anger","SVS Films","USA","PG","Drama",0,1.161135,0,2.21776785,2.21776785,102,868,7.2,"Charles Burnett","Danny Glover","Charles Burnett"
"1037",1068,1990,"1990-02-09","The Haunting of Morella","Concorde-New Horizons","USA","R","Horror",0,1.547867,0,2.95642597,2.95642597,82,543,3.9,"Jim Wynorski","Nicole Eggert","Edgar Allan Poe"
"1038",1069,1990,"1990-04-06","Impulse","Warner Bros.","USA","R","Crime",0,2.544504,0,4.86000264,4.86000264,109,969,5.7,"Sondra Locke","Theresa Russell","John DeMarco"
"1039",1070,1990,"1990-05-04","Short Time","Gladden Entertainment","USA","PG-13","Comedy",0,4.010647,0,7.66033577,7.66033577,97,1667,6.4,"Gregg Champion","Dabney Coleman","John Blumenthal"
"1040",1071,1990,"1991-09","My Mother's Castle","Gaumont","France","PG","Adventure",0,1.477071,0,2.82120561,2.82120561,98,4012,7.6,"Yves Robert","Julien Ciamaca","Marcel Pagnol"
"1041",1072,1990,"1990-04-13","Vital Signs","Twentieth Century Fox Film Corporation","USA","R","Drama",0,1.224605,0,2.33899555,2.33899555,100,604,5.4,"Marisa Silver","Adrian Pasdar","Larry Ketron"
"1042",1073,1990,"1990-01-19","Everybody Wins","Recorded Picture Company (RPC)","UK","R","Drama",0,1.37235,0,2.6211885,2.6211885,97,892,5,"Karel Reisz","Debra Winger","Arthur Miller"
"1043",1074,1990,"1991-05-30","¡Ay, Carmela!","Iberoamericana Films Internacional","Spain","PG-13","Comedy",0,0.29909,0,0.5712619,0.5712619,102,1831,7.2,"Carlos Saura","Carmen Maura","Rafael Azcona"
"1044",1075,1990,"1991-04","Mister Johnson","Avenue Pictures Productions","USA","PG-13","Drama",0,1.464242,0,2.79670222,2.79670222,101,740,6.5,"Bruce Beresford","Pierce Brosnan","William Boyd"
"1045",1076,1990,"1990-03-09","Love at Large","David Blocker Productions","USA","R","Comedy",0,1.436308,0,2.74334828,2.74334828,97,967,5.8,"Alan Rudolph","Tom Berenger","Alan Rudolph"
"1046",1077,1990,"1990-11-02","China Cry: A True Story","Parakletus","USA","PG-13","Biography",0,4.212828,0,8.04650148,8.04650148,101,429,7,"James F. Collier","Julia Nickson","Nora Lam"
"1047",1078,1990,"1991-11-08","Love & Murder","Sharmhill Productions","Canada","R","Crime",0,0.010468,0,0.01999388,0.01999388,87,27,4.4,"Steven Hilliard Stern","Todd Waring","Steven Hilliard Stern"
"1048",1079,1990,"1990-05-11","A Show of Force","Forna Productions","USA","R","Drama",0,0.152982,0,0.29219562,0.29219562,95,584,5.2,"Bruno Barreto","Amy Irving","Anne Nelson"
"1049",1080,1990,"1990-04-04","A Tale of Springtime","Compagnie Eric Rohmer (CER)","France","PG","Comedy",0,0.201332,0,0.38454412,0.38454412,108,2643,7.4,"Éric Rohmer","Anne Teyssèdre","Éric Rohmer"
"1050",1082,1990,"1990-07","May Fools","Nouvelles Éditions de Films (NEF)","France","R","Comedy",0,1.576702,0,3.01150082,3.01150082,100,2071,7.2,"Louis Malle","Miou-Miou","Louis Malle"
"1051",1083,1990,"1990-01-12","The Misadventures of Mr. Wilt","Rank Organisation, The","UK","R","Comedy",0,0.113014,0,0.21585674,0.21585674,92,806,6.3,"Michael Tuchner","Griff Rhys Jones","Tom Sharpe"
"1052",1084,1990,"1991-08","My Father's Glory","Gaumont","France","G","Adventure",0,1.710856,0,3.26773496,3.26773496,105,5179,7.6,"Yves Robert","Philippe Caubère","Louis Nucéra"
"1053",1085,1990,"1991-05-17","Auntie Danielle","Téléma","France","PG-13","Comedy",0,0.604624,0,1.15483184,1.15483184,100,2759,7.3,"Étienne Chatiliez","Tsilla Chelton","Florence Quentin"
"1054",1086,1990,"1990-05-04","Daddy's Dyin'... Who's Got the Will?","Artist Circle Entertainment","USA","PG-13","Comedy",0,1.373728,0,2.62382048,2.62382048,95,651,5.8,"Jack Fisk","Beau Bridges","Del Shores"
"1055",1087,1990,"1991-04-26","Journey of Hope","Antea Cinematografica","Switzerland","PG","Drama",0,0.261718,0,0.49988138,0.49988138,100,1512,7.6,"Xavier Koller","Necmettin Çobanoglu","Xavier Koller"
"1056",1088,1990,"1990-03-16","Ultra Warrior","Concorde-New Horizons","Peru","R","Action",0,0.41088,0,0.7847808,0.7847808,100,661,1.6,"Augusto Tamayo San Román","Dack Rambo","Len Jenkin"
"1057",1089,1990,"1990-02-23","Angel Town","Ellendale Place","USA","R","Action",0,0.85581,0,1.6345971,1.6345971,102,425,5,"Eric Karson","Olivier Gruner","S. Warren"
"1058",1090,1990,"1990-11-02","Waiting for the Light","Epic Productions","USA","PG","Comedy",0,0.80869,0,1.5445979,1.5445979,94,340,6,"Christopher Monger","Shirley MacLaine","Christopher Monger"
"1059",1091,1990,"1990-03-09","The Last of the Finest","Orion Pictures","USA","R","Action",0,1.531489,0,2.92514399,2.92514399,106,879,5.7,"John Mackenzie","Brian Dennehy","Jere Cunningham"
"1060",1093,1990,"1991-01-18","Men of Respect","Arthur Goldblatt Productions","USA","R","Drama",0,0.139155,0,0.26578605,0.26578605,113,660,5.3,"William Reilly","John Turturro","William Reilly"
"1061",1094,1990,"1990-01-26","Strike It Rich","British Broadcasting Corporation (BBC)","UK","PG","Comedy",0,0.541626,0,1.03450566,1.03450566,87,125,5.1,"James Scott","Robert Lindsay","Graham Greene"
"1062",1095,1990,"1991-02-08","Heaven and Earth","Haruki Kadokawa Films","Japan","PG-13","Action",42,0.307775,80.22,0.58785025,-79.63214975,104,792,7.1,"Haruki Kadokawa","Takaaki Enoki","Haruki Kadokawa"
"1063",1096,1990,"1995-11-24","I, the Worst of All","GEA Cinematográfica","Argentina","R","Drama",0,0.052148,0,0.09960268,0.09960268,105,504,7.1,"María Luisa Bemberg","Assumpta Serna","María Luisa Bemberg"
"1064",1097,1990,"1991-09-05","The End of Innocence","Bonkers","USA","R","Drama",0,0.115983,0,0.22152753,0.22152753,100,139,5.6,"Dyan Cannon","Dyan Cannon","Dyan Cannon"
"1065",1099,1990,"1990-11-09","The Return of Superfly","Multicom Entertainment Group","USA","R","Action",0,0.610402,0,1.16586782,1.16586782,95,232,5,"Sig Shore","Nathan Purdee","Anthony Wisdom"
"1066",1100,1990,"1990-07-27","Chicago Joe and the Showgirl","BSB","UK","R","Crime",0,0.085395,0,0.16310445,0.16310445,103,587,4.9,"Bernard Rose","Emily Lloyd","David Yallop"
"1067",1101,1991,"1991-02-14","The Silence of the Lambs","Strong Heart/Demme Production","USA","R","Crime",19,130.742922,34.2,235.3372596,201.1372596,118,990212,8.6,"Jonathan Demme","Jodie Foster","Thomas Harris"
"1068",1102,1991,"1991-07-03","Terminator 2: Judgment Day","Carolco Pictures","USA","R","Action",102,204.84335,183.6,368.71803,185.11803,137,813779,8.5,"James Cameron","Arnold Schwarzenegger","James Cameron"
"1069",1103,1991,"1991-11-22","Beauty and the Beast","Walt Disney Pictures","USA","G","Animation",25,218.96762,45,394.141716,349.141716,84,344844,8,"Gary Trousdale","Paige O'Hara","Linda Woolverton"
"1070",1104,1991,"1991-07-12","Boyz n the Hood","Columbia Pictures Corporation","USA","R","Crime",6.5,57.504069,11.7,103.5073242,91.8073242,112,102317,7.8,"John Singleton","Cuba Gooding Jr.","John Singleton"
"1071",1105,1991,"1991-11-22","The Addams Family","Metro-Goldwyn-Mayer (MGM)","USA","PG-13","Comedy",30,113.502,54,204.3036,150.3036,99,104334,6.8,"Barry Sonnenfeld","Anjelica Huston","Charles Addams"
"1072",1106,1991,"1992-01-24","Fried Green Tomatoes","Universal Pictures","USA","PG-13","Drama",11,82.418501,19.8,148.3533018,128.5533018,130,55887,7.7,"Jon Avnet","Kathy Bates","Fannie Flagg"
"1073",1107,1991,"1991-12-11","Hook","Amblin Entertainment","USA","PG","Adventure",70,119.654823,126,215.3786814,89.3786814,142,196513,6.7,"Steven Spielberg","Dustin Hoffman","J.M. Barrie"
"1074",1108,1991,"1991-07-12","Punto de quiebra","Largo Entertainment","Japan","R","Action",24,43.218387,43.2,77.7930966,34.5930966,122,124027,7.2,"Kathryn Bigelow","Patrick Swayze","Rick King"
"1075",1109,1991,"1991-05-24","Thelma & Louise","Pathé Entertainment","USA","R","Adventure",16.5,45.361,29.7,81.6498,51.9498,130,109801,7.4,"Ridley Scott","Susan Sarandon","Callie Khouri"
"1076",1110,1991,"1991-11-15","Cape Fear","Amblin Entertainment","USA","R","Crime",35,79.1,63,142.38,79.38,128,138370,7.3,"Martin Scorsese","Robert De Niro","John D. MacDonald"
"1077",1111,1991,"1991-11-27","My Girl","Columbia Pictures Corporation","USA","PG-13","Comedy",17,59.847242,30.6,107.7250356,77.1250356,102,60391,6.8,"Howard Zieff","Anna Chlumsky","Laurice Elehwany"
"1078",1112,1991,"1991-06-14","Robin Hood: Prince of Thieves","Warner Bros.","USA","PG-13","Action",48,165.5,86.4,297.9,211.5,143,154125,6.9,"Kevin Reynolds","Kevin Costner","Pen Densham"
"1079",1113,1991,"1991-09-13","The Commitments","Beacon Communications","Ireland","R","Comedy",0,14.91957,0,26.855226,26.855226,118,27784,7.6,"Alan Parker","Robert Arkins","Roddy Doyle"
"1080",1114,1991,"1991-08-30","Child's Play 3","Universal Pictures","UK","R","Action",13,14.960255,23.4,26.928459,3.528459,90,27550,5,"Jack Bender","Justin Whalin","Don Mancini"
"1081",1115,1991,"1991-08-02","Return to the Blue Lagoon","Columbia Pictures Corporation","USA","PG-13","Adventure",11,2.807854,19.8,5.0541372,-14.7458628,102,15262,5.1,"William A. Graham","Brian Krause","Henry De Vere Stacpoole"
"1082",1116,1991,"1991-12-06","Star Trek VI: The Undiscovered Country","Paramount Pictures","USA","PG","Action",30,74.888996,54,134.8001928,80.8001928,113,59567,7.2,"Nicholas Meyer","William Shatner","Gene Roddenberry"
"1083",1117,1991,"1991-12-20","JFK","Warner Bros.","France","R","Drama",40,70.405498,72,126.7298964,54.7298964,189,121533,8,"Oliver Stone","Kevin Costner","Oliver Stone"
"1084",1118,1991,"1991-08-21","Barton Fink","Circle Films","USA","R","Comedy",9,6.153939,16.2,11.0770902,-5.1229098,116,96089,7.7,"Joel Coen","John Turturro","Joel Coen"
"1085",1119,1991,"1991-06-21","The Rocketeer","Walt Disney Pictures","USA","PG","Action",35,46.704056,63,84.0673008,21.0673008,108,45621,6.4,"Joe Johnston","Billy Campbell","Dave Stevens"
"1086",1120,1991,"1992-04-24","Naked Lunch","Recorded Picture Company (RPC)","Canada","R","Drama",16,2.541541,28.8,4.5747738,-24.2252262,115,39143,7.1,"David Cronenberg","Peter Weller","William S. Burroughs"
"1087",1121,1991,"1991-12-20","Father of the Bride","Touchstone Pictures","USA","PG","Comedy",0,89.32578,0,160.786404,160.786404,105,58569,6.5,"Charles Shyer","Steve Martin","Frances Goodrich"
"1088",1122,1991,"1991-07-31","Hot Shots!","Twentieth Century Fox Film Corporation","USA","PG-13","Action",26,69.467617,46.8,125.0417106,78.2417106,84,85058,6.7,"Jim Abrahams","Charlie Sheen","Jim Abrahams"
"1089",1123,1991,"1991-02-15","Nothing But Trouble","Applied Action","USA","PG-13","Comedy",40,8.479793,72,15.2636274,-56.7363726,94,18672,4.9,"Dan Aykroyd","Chevy Chase","Peter Aykroyd"
"1090",1124,1991,"1992-04-03","Delicatessen","Constellation","France","R","Comedy",0,1.794187,0,3.2295366,3.2295366,99,70220,7.7,"Marc Caro","Marie-Laure Dougnac","Jean-Pierre Jeunet"
"1091",1125,1991,"1991-07-03","Problem Child 2","Universal Pictures","USA","PG-13","Comedy",15,25.1047,27,45.18846,18.18846,93,17894,4.6,"Brian Levant","John Ritter","Scott Alexander"
"1092",1126,1991,"1991-05-17","What About Bob?","Touchstone Pictures","USA","PG","Comedy",35,63.71,63,114.678,51.678,99,53791,7,"Frank Oz","Bill Murray","Alvin Sargent"
"1093",1127,1991,"1991-07-20","My Own Private Idaho","New Line Cinema","USA","R","Drama",2.5,6.401336,4.5,11.5224048,7.0224048,104,40101,7.1,"Gus Van Sant","River Phoenix","Gus Van Sant"
"1094",1128,1991,"1991-06-07","City Slickers","Castle Rock Entertainment","USA","PG-13","Comedy",27,124.033791,48.6,223.2608238,174.6608238,113,41443,6.7,"Ron Underwood","Billy Crystal","Lowell Ganz"
"1095",1129,1991,"1991-03-01","The Doors","Bill Graham Films","USA","R","Biography",38,35.183792,68.4,63.3308256,-5.0691744,140,72491,7.2,"Oliver Stone","Val Kilmer","Randall Jahnson"
"1096",1130,1991,"1991-09-27","The Fisher King","TriStar Pictures","USA","R","Comedy",24,41.895491,43.2,75.4118838,32.2118838,137,67814,7.6,"Terry Gilliam","Jeff Bridges","Richard LaGravenese"
"1097",1131,1991,"1991-12-13","The Last Boy Scout","Geffen Pictures","USA","R","Action",29,59.509925,52.2,107.117865,54.917865,105,80307,6.9,"Tony Scott","Bruce Willis","Shane Black"
"1098",1132,1991,"1991-05-24","Backdraft","Imagine Films Entertainment","USA","R","Action",75,77.868585,135,140.163453,5.163453,137,61711,6.7,"Ron Howard","Kurt Russell","Gregory Widen"
"1099",1133,1991,"1991-02-08","Sleeping with the Enemy","Twentieth Century Fox Film Corporation","USA","R","Drama",19,101.599005,34.2,182.878209,148.678209,99,40443,6.2,"Joseph Ruben","Julia Roberts","Nancy Price"
"1100",1134,1991,"1991-06-07","Don't Tell Mom the Babysitter's Dead","Home Box Office (HBO)","USA","PG-13","Comedy",0,25.196249,0,45.3532482,45.3532482,102,23117,6.1,"Stephen Herek","Christina Applegate","Neil Landau"
"1101",1135,1991,"1991-11-01","The People Under the Stairs","Universal Pictures","USA","R","Comedy",6,24.204154,10.8,43.5674772,32.7674772,102,25742,6.3,"Wes Craven","Brandon Quintin Adams","Wes Craven"
"1102",1136,1991,"1991-10-04","The Man in the Moon","Metro-Goldwyn-Mayer (MGM)","USA","PG-13","Drama",0,2.853801,0,5.1368418,5.1368418,99,12973,7.4,"Robert Mulligan","Sam Waterston","Jenny Wingfield"
"1103",1137,1991,"1991-04-26","Toy Soldiers","TriStar Pictures","USA","R","Action",10,15.073942,18,27.1330956,9.1330956,111,17063,6.5,"Daniel Petrie Jr.","Sean Astin","William P. Kennedy"
"1104",1138,1991,"1991-03-08","New Jack City","Warner Bros.","USA","R","Action",8.5,47.624253,15.3,85.7236554,70.4236554,97,25867,6.6,"Mario Van Peebles","Wesley Snipes","Thomas Lee Wright"
"1105",1139,1991,"1991-03-22","Teenage Mutant Ninja Turtles II: The Secret of the Ooze","Golden Harvest Company","USA","PG","Action",25,78.656813,45,141.5822634,96.5822634,88,44901,6,"Michael Pressman","Paige Turco","Kevin Eastman"
"1106",1140,1991,"1991-09-13","Freddy's Dead: The Final Nightmare","New Line Cinema","USA","R","Comedy",11,34.872033,19.8,62.7696594,42.9696594,89,33582,4.9,"Rachel Talalay","Robert Englund","Wes Craven"
"1107",1141,1991,"1991-05-24","Hudson Hawk","TriStar Pictures","USA","R","Action",65,17.21808,117,30.992544,-86.007456,100,45642,5.8,"Michael Lehmann","Bruce Willis","Bruce Willis"
"1108",1142,1991,"1991-03-29","Career Opportunities","Hughes Entertainment","USA","PG-13","Comedy",0,11.336986,0,20.4065748,20.4065748,83,7577,5.9,"Bryan Gordon","Frank Whaley","John Hughes"
"1109",1143,1991,"1991-07-19","Bill & Ted's Bogus Journey","Interscope Communications","USA","PG","Adventure",20,38.037513,36,68.4675234,32.4675234,93,52853,6.2,"Peter Hewitt","Keanu Reeves","Chris Matheson"
"1110",1144,1991,"1991-05-24","Drop Dead Fred","PolyGram Filmed Entertainment","USA","PG-13","Comedy",6.788,43.878334,12.2184,78.9810012,66.7626012,103,23181,5.8,"Ate de Jong","Phoebe Cates","Elizabeth Livingston"
"1111",1145,1991,"1991-08-09","Double Impact","Stone Group Pictures","USA","R","Action",15,30.102717,27,54.1848906,27.1848906,110,31574,5.5,"Sheldon Lettich","Jean-Claude Van Damme","Sheldon Lettich"
"1112",1146,1991,"1991-12-12","Night on Earth","Victor Company of Japan (JVC)","France","R","Comedy",3.5,2.01581,6.3,3.628458,-2.671542,129,44688,7.8,"Jim Jarmusch","Winona Ryder","Jim Jarmusch"
"1113",1147,1991,"1991-09-27","Necessary Roughness","Paramount Pictures","USA","PG-13","Comedy",13.5,26.255594,24.3,47.2600692,22.9600692,108,8750,6.1,"Stan Dragoti","Scott Bakula","Rick Natkin"
"1114",1148,1991,"1991-10-11","Frankie and Johnny","Paramount Pictures","USA","R","Comedy",29,22.773535,52.2,40.992363,-11.207637,118,24326,6.7,"Garry Marshall","Al Pacino","Terrence McNally"
"1115",1149,1991,"1991-04-26","Oscar","Joseph S. Vecchio Entertainment","USA","PG","Comedy",35,23.562716,63,42.4128888,-20.5871112,109,25116,6.4,"John Landis","Sylvester Stallone","Claude Magnier"
"1116",1150,1991,"1991-10-11","Ernest Scared Stupid","Touchstone Pictures","USA","PG","Comedy",0,14.14328,0,25.457904,25.457904,91,9139,5.7,"John R. Cherry III","Jim Varney","John R. Cherry III"
"1117",1151,1991,"1991-11-22","An American Tail: Fievel Goes West","Universal Pictures","USA","G","Animation",0,22.166041,0,39.8988738,39.8988738,75,18924,6.5,"Phil Nibbelink","James Stewart","Flint Dille"
"1118",1152,1991,"1991-12-20","Bugsy","TriStar Pictures","USA","R","Biography",30,49.114016,54,88.4052288,34.4052288,136,22209,6.8,"Barry Levinson","Warren Beatty","James Toback"
"1119",1153,1991,"1991-12-25","The Prince of Tides","Columbia Pictures Corporation","USA","R","Drama",30,74.787599,54,134.6176782,80.6176782,132,13391,6.7,"Barbra Streisand","Barbra Streisand","Pat Conroy"
"1120",1154,1991,"1991-06-28","The Naked Gun 2½: The Smell of Fear","Paramount Pictures","USA","PG-13","Comedy",23,86.930411,41.4,156.4747398,115.0747398,85,89142,6.8,"David Zucker","Leslie Nielsen","Jim Abrahams"
"1121",1155,1991,"1991-04-12","Out for Justice","Arnold Kopelson Productions","USA","R","Action",14,39.673161,25.2,71.4116898,46.2116898,91,18164,6,"John Flynn","Steven Seagal","R. Lance Hill"
"1122",1156,1991,"1991-03-29","The Five Heartbeats","Twentieth Century Fox Film Corporation","USA","R","Drama",0,8.7504,0,15.75072,15.75072,121,2927,7.5,"Robert Townsend","Robert Townsend","Robert Townsend"
"1123",1157,1991,"1991-06-07","Jungle Fever","Universal Pictures","USA","R","Drama",14,32.482682,25.2,58.4688276,33.2688276,132,14307,6.5,"Spike Lee","Wesley Snipes","Spike Lee"
"1124",1158,1991,"1991-10-18","Cool as Ice","Alive Films","USA","PG","Comedy",6,1.193062,10.8,2.1475116,-8.6524884,91,7942,2.8,"David Kellogg","Vanilla Ice","David Stenn"
"1125",1159,1991,"1991-09-27","Deceived","Touchstone Pictures","USA","PG-13","Thriller",0,28.738096,0,51.7285728,51.7285728,104,5305,6.1,"Damian Harris","Goldie Hawn","Mary Agnes Donoghue"
"1126",1160,1991,"1991-07-10","Regarding Henry","Paramount Pictures","USA","PG-13","Drama",50,43.0015,90,77.4027,-12.5973,108,24971,6.7,"Mike Nichols","Harrison Ford","J.J. Abrams"
"1127",1161,1991,"1991-08-23","Showdown in Little Tokyo","Little Tokyo Productions","USA","R","Action",8,2.275557,14.4,4.0960026,-10.3039974,79,13465,6.1,"Mark L. Lester","Dolph Lundgren","Stephen Glantz"
"1128",1162,1991,"1991-11-22","The Double Life of Veronique","Sidéral Productions","France","R","Drama",0,1.999955,0,3.599919,3.599919,98,31728,7.9,"Krzysztof Kieslowski","Irène Jacob","Krzysztof Kieslowski"
"1129",1163,1991,"1992-01-17","Rush","Metro-Goldwyn-Mayer (MGM)","USA","R","Action",17,7.24135,30.6,13.03443,-17.56557,120,6699,6.7,"Lili Fini Zanuck","Jason Patric","Kim Wozencraft"
"1130",1164,1991,"1991-08-30","Dead Again","Paramount Pictures","USA","R","Crime",15,38.01638,27,68.429484,41.429484,107,22783,7,"Kenneth Branagh","Kenneth Branagh","Scott Frank"
"1131",1165,1991,"1991-07-05","Slacker","Detour Filmproduction","USA","R","Comedy",0.023,1.228108,0.0414,2.2105944,2.1691944,97,16396,7.1,"Richard Linklater","Richard Linklater","Richard Linklater"
"1132",1166,1991,"1991-11-01","Highlander II: The Quickening","Davis-Panzer Productions","UK","R","Action",30,15.55634,54,28.001412,-25.998588,91,38557,4.1,"Russell Mulcahy","Christopher Lambert","Gregory Widen"
"1133",1167,1991,"1991-04-05","Defending Your Life","Geffen Pictures","USA","PG","Comedy",0,16.371128,0,29.4680304,29.4680304,112,14509,7.3,"Albert Brooks","Albert Brooks","Albert Brooks"
"1134",1168,1991,"1991-08-02","Doc Hollywood","Warner Bros.","USA","PG-13","Comedy",0,54.830779,0,98.6954022,98.6954022,104,27679,6.1,"Michael Caton-Jones","Michael J. Fox","Neil B. Shulman"
"1135",1169,1991,"1991-10-25","Curly Sue","Hughes Entertainment","USA","PG","Comedy",25,33.691313,45,60.6443634,15.6443634,101,17739,5.7,"John Hughes","Jim Belushi","John Hughes"
"1136",1170,1991,"1992-04-03","Amigos inseparables","Goldcrest Films International","Ireland","G","Animation",18,11.657385,32.4,20.983293,-11.416707,100,6716,6,"Don Bluth","Glen Campbell","Don Bluth"
"1137",1171,1991,"1991-08-23","Harley Davidson and the Marlboro Man","Krisjair","USA","R","Action",23,7.434726,41.4,13.3825068,-28.0174932,98,15567,6,"Simon Wincer","Mickey Rourke","Don Michael Paul"
"1138",1172,1991,"1991-01-18","White Fang","Walt Disney Pictures","USA","PG","Adventure",14,34.79316,25.2,62.627688,37.427688,107,16702,6.7,"Randal Kleiser","Ethan Hawke","Jack London"
"1139",1173,1991,"1991-06-21","Dying Young","Fogwood Films","USA","R","Drama",0,33.669178,0,60.6045204,60.6045204,111,12581,5.9,"Joel Schumacher","Julia Roberts","Marti Leimbach"
"1140",1174,1991,"1991-03-15","If Looks Could Kill","Warner Bros.","USA","PG-13","Action",0,7.788597,0,14.0194746,14.0194746,88,5551,5.7,"William Dear","Richard Grieco","Fred Dekker"
"1141",1175,1991,"1991-07-26","Mobsters","Universal Pictures","USA","R","Crime",23,20.24679,41.4,36.444222,-4.955778,104,7229,5.9,"Michael Karbelnikoff","Christian Slater","Michael Mahern"
"1142",1176,1991,"1992-02-28","Under Suspicion","Carnival Film & Television","UK","R","Crime",0,0.221295,0,0.398331,0.398331,99,2752,6.5,"Simon Moore","Liam Neeson","Simon Moore"
"1143",1177,1991,"1991-10-04","Ricochet","Home Box Office (HBO)","USA","R","Action",0,21.76,0,39.168,39.168,102,13505,6.1,"Russell Mulcahy","Denzel Washington","Fred Dekker"
"1144",1178,1991,"1991-01-11","Not Without My Daughter","Pathé Entertainment","USA","PG-13","Drama",0,14.789113,0,26.6204034,26.6204034,116,10368,6.2,"Brian Gilbert","Sally Field","Betty Mahmoody"
"1145",1179,1991,"1991-05-17","Stone Cold","Stone Group Pictures","USA","R","Action",17,9.286314,30.6,16.7153652,-13.8846348,88,5551,5.9,"Craig R. Baxley","Brian Bosworth","Walter Doniger"
"1146",1180,1991,"1991-02-08","L.A. Story","Carolco Pictures","USA","PG-13","Comedy",0,28.862081,0,51.9517458,51.9517458,95,26346,6.7,"Mick Jackson","Steve Martin","Steve Martin"
"1147",1181,1991,"1991-05-24","Wild Hearts Can't Be Broken","Walt Disney Pictures","USA","G","Drama",0,7.3,0,13.14,13.14,88,4092,7.2,"Steve Miner","Gabrielle Anwar","Matt Williams"
"1148",1183,1991,"1991-05-10","Switch","Beco Films","USA","R","Comedy",0,15.545943,0,27.9826974,27.9826974,103,7160,5.7,"Blake Edwards","Ellen Barkin","Blake Edwards"
"1149",1184,1991,"1992-11-14","Flirting","Kennedy Miller Productions","Australia","R","Drama",0,2.415396,0,4.3477128,4.3477128,99,5046,7.3,"John Duigan","Noah Taylor","John Duigan"
"1150",1185,1991,"2016-02-26","Only Yesterday","Nippon Television Network (NTV)","Japan","PG","Animation",0,0.415941,0,0.7486938,0.7486938,118,16144,7.7,"Isao Takahata","Miki Imai","Hotaru Okamoto"
"1151",1186,1991,"1991-10-04","Suburban Commando","New Line Cinema","USA","PG","Action",0,6.948859,0,12.5079462,12.5079462,90,8055,4.3,"Burt Kennedy","Hulk Hogan","Frank A. Cappello"
"1152",1187,1991,"1991-07-26","Another You","TriStar Pictures","USA","R","Comedy",17,2.865916,30.6,5.1586488,-25.4413512,100,2959,5.3,"Maurice Phillips","Richard Pryor","Ziggy Steinberg"
"1153",1188,1991,"1991-11-01","Little Man Tate","Orion Pictures","USA","PG","Drama",10,25.010896,18,45.0196128,27.0196128,99,12172,6.7,"Jodie Foster","Jodie Foster","Scott Frank"
"1154",1189,1991,"1991-11-22","Close My Eyes","Film Four International","UK","R","Drama",0,0.135893,0,0.2446074,0.2446074,108,2538,6.4,"Stephen Poliakoff","Alan Rickman","Stephen Poliakoff"
"1155",1190,1991,"1991-02-15","King Ralph","Universal Pictures","USA","PG","Comedy",0,34.002045,0,61.203681,61.203681,97,13317,5.2,"David S. Ward","John Goodman","Emlyn Williams"
"1156",1191,1991,"1991-12-25","Until the End of the World","Argos Films","Germany","R","Action",23,0.752856,41.4,1.3551408,-40.0448592,280,7344,6.8,"Wim Wenders","William Hurt","Peter Carey"
"1157",1192,1991,"1992-03-13","Shakes the Clown","IRS Media","USA","R","Comedy",1.4,0.115103,2.52,0.2071854,-2.3128146,87,3958,5.6,"Bobcat Goldthwait","Bobcat Goldthwait","Bobcat Goldthwait"
"1158",1193,1991,"1991-02-01","Popcorn","Movie Partners","USA","R","Comedy",0,4.205,0,7.569,7.569,91,2785,5.7,"Mark Herrier","Jill Schoelen","Mitchell Smith"
"1159",1194,1991,"1991-04-19","Mortal Thoughts","Columbia Pictures Corporation","USA","R","Mystery",8,19.018321,14.4,34.2329778,19.8329778,102,7239,5.7,"Alan Rudolph","Demi Moore","William Reilly"
"1160",1195,1991,"1991-03-08","The Hard Way","Universal Pictures","USA","R","Action",0,25.895485,0,46.611873,46.611873,111,15517,6.3,"John Badham","Michael J. Fox","Lem Dobbs"
"1161",1197,1991,"1992-02-05","Mississippi Masala","Black River Productions","UK","R","Drama",0,7.31,0,13.158,13.158,118,4116,6.6,"Mira Nair","Denzel Washington","Sooni Taraporevala"
"1162",1198,1991,"1991-10-04","Dogfight","Not specified","USA","R","Comedy",0,0.394631,0,0.7103358,0.7103358,94,6927,7.5,"Nancy Savoca","River Phoenix","Bob Comfort"
"1163",1199,1991,"1991-12-18","Raise the Red Lantern","ERA International","China","PG","Drama",0,2.603061,0,4.6855098,4.6855098,125,22684,8.2,"Yimou Zhang","Li Gong","Su Tong"
"1164",1200,1991,"1991-08-02","Body Parts","Vista Street Entertainment","USA","R","Horror",10,9.18815,18,16.53867,-1.46133,88,3290,5.5,"Eric Red","Jeff Fahey","Pierre Boileau"
"1165",1201,1991,"1991-10-11","Shattered","Capella International","USA","R","Crime",22,11.511031,39.6,20.7198558,-18.8801442,98,6807,6.5,"Wolfgang Petersen","Tom Berenger","Richard Neely"
