conrinc,gunlaw,god,gender1,age
324512.2921,2,6,1,45
63195,0,3,1,37
51705,2,6,1,49
0,0,6,1,31
34470,1,2,1,81
76600,1,6,1,30
3447,0,6,1,29
21065,1,6,1,58
34470,1,6,2,76
34470,1,6,1,49
0,1,6,1,42
63195,0,3,1,56
76600,1,6,2,40
42130,0,3,2,35
34470,1,6,1,36
14362.5,1,5,1,56
91920,0,6,1,37
6894,1,3,2,35
18192.5,2,1,2,24
42130,0,4,1,70
0,1,4,1,28
0,0,6,1,51
14362.5,1,6,1,30
0,0,4,2,80
28725,1,6,2,46
0,0,6,2,78
34470,1,6,2,64
42130,1,5,2,50
0,0,2,1,63
28725,0,6,1,66
42130,1,6,1,35
0,1,6,1,72
0,0,1,1,88
21065,1,6,2,99
0,2,2,1,19
0,1,6,2,32
8617.5,0,6,1,33
34470,0,4,2,48
0,2,3,2,67
0,1,6,1,46
42130,1,5,1,50
4213,0,2,1,28
0,2,3,1,28
18192.5,2,6,1,49
8617.5,2,5,2,20
324512.2921,1,2,1,51
0,0,6,2,75
0,0,6,2,65
0,1,5,2,58
5745,1,6,1,40
34470,1,6,2,32
383,1,6,1,53
28725,0,6,1,51
24895,2,6,1,48
34470,0,6,1,42
6894,2,6,1,39
0,0,6,2,27
8617.5,0,6,1,45
21065,2,6,1,42
21065,0,6,2,48
0,1,4,1,69
1532,1,6,1,18
34470,2,2,2,37
0,1,6,2,33
21065,0,6,1,49
0,2,6,2,39
10532.5,0,6,2,44
5745,0,6,2,53
0,1,5,1,25
63195,0,5,1,45
24895,0,5,1,24
6894,1,4,2,59
21065,1,5,1,27
24895,0,6,1,54
24895,1,5,1,26
0,1,6,2,86
34470,0,6,2,63
14362.5,1,6,1,27
0,1,6,2,52
2681,1,6,2,50
0,0,6,2,36
0,2,3,1,38
0,8,6,2,73
324512.2921,1,3,1,51
18192.5,0,6,2,41
10532.5,1,6,1,36
0,1,5,2,54
51705,1,2,2,39
51705,0,5,1,61
4979,0,3,1,21
0,1,6,2,76
14362.5,1,2,2,23
0,2,5,2,63
63195,1,5,2,45
3447,8,6,1,26
16277.5,0,6,1,36
51705,1,5,1,64
24895,0,5,1,46
0,0,5,1,69
34470,1,6,1,43
0,1,6,2,57
18192.5,0,2,1,34
2681,0,5,1,30
91920,2,6,1,28
0,1,3,1,23
28725,0,6,1,29
51705,1,3,2,54
324512.2921,2,6,1,57
0,0,6,1,67
0,0,6,1,27
51705,1,6,2,43
42130,0,6,1,42
18192.5,0,5,2,35
28725,0,3,1,30
34470,2,3,1,55
21065,1,4,2,53
0,0,2,1,18
8617.5,2,2,1,40
0,0,1,1,25
16277.5,1,2,1,54
0,2,5,1,52
0,1,5,1,25
24895,1,6,1,28
0,0,6,1,74
0,0,3,1,89
0,0,6,1,77
21065,1,8,1,24
42130,1,3,2,72
8617.5,1,5,2,70
0,0,2,1,84
0,1,6,2,73
0,0,6,1,57
324512.2921,1,3,2,47
2681,1,6,2,49
0,1,6,2,51
0,1,6,2,53
0,1,6,1,65
4979,0,6,1,55
383,1,3,1,57
24895,1,2,1,38
34470,2,6,2,49
28725,1,6,1,54
0,0,2,1,21
0,1,5,1,20
0,0,6,1,76
0,1,6,2,66
21065,0,6,1,43
0,1,6,2,55
28725,0,6,2,28
4213,1,6,1,45
0,0,2,1,81
0,1,6,2,76
16277.5,0,3,2,45
18192.5,1,6,1,62
34470,0,6,1,62
18192.5,1,5,1,29
51705,1,5,1,31
14362.5,0,3,1,32
42130,1,6,1,41
4213,0,6,1,30
0,1,6,2,64
0,2,6,1,50
0,0,5,1,22
6894,0,6,2,22
14362.5,2,5,1,54
0,0,2,2,76
0,1,6,1,66
0,0,5,1,64
0,0,6,2,56
0,1,6,2,19
63195,0,6,1,45
16277.5,1,5,1,47
0,1,6,2,20
0,0,6,1,44
24895,2,6,1,24
0,0,6,1,49
63195,0,6,2,67
24895,0,6,1,48
4979,1,6,2,47
8617.5,1,6,1,75
0,1,6,1,76
34470,1,6,1,51
34470,1,1,1,37
63195,0,6,2,43
0,2,6,2,22
24895,2,6,1,41
6894,2,6,2,24
14362.5,1,5,1,43
18192.5,1,6,2,66
14362.5,2,6,1,47
34470,2,6,1,50
0,1,6,1,57
21065,1,3,1,56
383,0,4,1,22
76600,1,3,1,61
0,0,2,1,26
28725,2,6,2,42
0,1,9,2,87
51705,1,5,2,32
324512.2921,2,6,1,42
0,0,6,2,89
63195,1,6,2,55
0,1,3,1,38
0,2,5,1,62
91920,2,6,1,51
0,1,3,1,27
34470,0,5,1,36
28725,2,6,2,34
14362.5,1,2,1,36
14362.5,1,5,1,29
0,0,1,1,42
63195,1,6,1,51
18192.5,1,6,1,25
0,1,6,2,81
5745,2,6,1,22
34470,0,5,1,45
0,2,3,2,61
8617.5,1,4,1,79
0,1,6,1,63
76600,0,6,1,60
0,2,6,2,54
0,0,6,1,56
383,2,6,1,21
0,1,6,1,67
28725,1,4,1,61
8617.5,1,5,1,51
0,0,6,2,72
1532,8,6,1,63
0,0,6,1,78
51705,0,6,1,45
0,1,6,2,48
0,0,6,1,79
0,2,6,1,30
0,1,6,1,32
0,1,3,2,30
28725,2,6,2,44
8617.5,0,5,2,42
0,1,3,1,64
21065,1,5,1,42
0,1,6,1,42
76600,1,6,1,46
0,1,5,1,26
0,1,5,2,63
14362.5,0,6,2,45
34470,1,6,2,33
4213,0,6,2,27
51705,2,5,2,50
16277.5,1,5,1,68
18192.5,0,6,2,55
8617.5,1,6,2,58
2681,0,6,2,19
0,1,6,1,42
1532,1,5,1,38
0,0,6,1,63
16277.5,0,5,1,27
0,2,6,2,71
51705,1,5,2,38
0,0,6,1,77
21065,1,6,1,48
0,0,6,2,74
16277.5,1,6,1,56
16277.5,0,2,2,23
12447.5,1,1,2,51
28725,1,6,2,47
10532.5,0,5,2,49
3447,2,5,2,22
34470,0,6,1,36
0,1,4,2,38
21065,2,1,2,22
0,0,6,1,46
0,1,6,1,63
1532,0,5,2,19
34470,2,6,1,52
2681,1,5,2,35
0,1,3,1,64
0,1,6,2,49
24895,0,6,1,45
0,0,6,1,68
0,2,6,2,45
63195,0,6,2,55
0,1,6,1,62
76600,2,6,2,31
63195,0,3,1,54
4979,1,5,1,21
383,8,6,1,23
2681,0,6,1,34
383,0,2,1,45
16277.5,1,1,1,28
18192.5,1,6,1,34
0,1,6,2,74
0,2,6,1,25
2681,1,6,2,39
24895,0,6,1,38
0,1,6,1,80
12447.5,1,5,2,34
2681,0,6,1,71
0,2,6,1,33
8617.5,1,6,1,32
42130,2,6,1,37
0,0,6,1,41
