conrinc,gunlaw,god,age,gender1
42130,1,6,35,1
0,1,6,72,1
0,0,1,88,1
21065,1,6,99,2
0,2,2,19,1
0,1,6,32,2
8617.5,0,6,33,1
34470,0,4,48,2
0,2,3,67,2
0,1,6,46,1
42130,1,5,50,1
4213,0,2,28,1
0,2,3,28,1
18192.5,2,6,49,1
8617.5,2,5,20,2
324512.2921,1,2,51,1
0,0,6,75,2
0,0,6,65,2
0,1,5,58,2
5745,1,6,40,1
34470,1,6,32,2
383,1,6,53,1
28725,0,6,51,1
24895,2,6,48,1
34470,0,6,42,1
6894,2,6,39,1
0,0,6,27,2
8617.5,0,6,45,1
21065,2,6,42,1
21065,0,6,48,2
0,1,4,69,1
1532,1,6,18,1
34470,2,2,37,2
0,1,6,33,2
21065,0,6,49,1
0,2,6,39,2
10532.5,0,6,44,2
5745,0,6,53,2
0,1,5,25,1
63195,0,5,45,1
24895,0,5,24,1
6894,1,4,59,2
21065,1,5,27,1
24895,0,6,54,1
24895,1,5,26,1
0,1,6,86,2
34470,0,6,63,2
14362.5,1,6,27,1
0,1,6,52,2
2681,1,6,50,2
0,0,6,36,2
0,2,3,38,1
0,8,6,73,2
324512.2921,1,3,51,1
18192.5,0,6,41,2
10532.5,1,6,36,1
0,1,5,54,2
51705,1,2,39,2
51705,0,5,61,1
4979,0,3,21,1
0,1,6,76,2
14362.5,1,2,23,2
0,2,5,63,2
63195,1,5,45,2
3447,8,6,26,1
16277.5,0,6,36,1
51705,1,5,64,1
24895,0,5,46,1
0,0,5,69,1
34470,1,6,43,1
0,1,6,57,2
18192.5,0,2,34,1
2681,0,5,30,1
91920,2,6,28,1
0,1,3,23,1
28725,0,6,29,1
51705,1,3,54,2
324512.2921,2,6,57,1
0,0,6,67,1
0,0,6,27,1
51705,1,6,43,2
42130,0,6,42,1
18192.5,0,5,35,2
28725,0,3,30,1
34470,2,3,55,1
21065,1,4,53,2
0,0,2,18,1
8617.5,2,2,40,1
0,0,1,25,1
16277.5,1,2,54,1
0,2,5,52,1
0,1,5,25,1
24895,1,6,28,1
0,0,6,74,1
0,0,3,89,1
0,0,6,77,1
21065,1,8,24,1
42130,1,3,72,2
8617.5,1,5,70,2
0,0,2,84,1
0,1,6,73,2
0,0,6,57,1
324512.2921,1,3,47,2
2681,1,6,49,2
0,1,6,51,2
0,1,6,53,2
0,1,6,65,1
4979,0,6,55,1
383,1,3,57,1
24895,1,2,38,1
34470,2,6,49,2
28725,1,6,54,1
0,0,2,21,1
0,1,5,20,1
0,0,6,76,1
0,1,6,66,2
21065,0,6,43,1
0,1,6,55,2
28725,0,6,28,2
4213,1,6,45,1
0,0,2,81,1
0,1,6,76,2
16277.5,0,3,45,2
18192.5,1,6,62,1
34470,0,6,62,1
18192.5,1,5,29,1
51705,1,5,31,1
14362.5,0,3,32,1
42130,1,6,41,1
4213,0,6,30,1
0,1,6,64,2
0,2,6,50,1
0,0,5,22,1
6894,0,6,22,2
14362.5,2,5,54,1
0,0,2,76,2
0,1,6,66,1
0,0,5,64,1
0,0,6,56,2
0,1,6,19,2
63195,0,6,45,1
