"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"1689",1993,"1993-08-20","King of the Hill","Wildwood Enterprises","USA","PG-13","Drama",8e+06,1299318,13600000,2208840.6,-11391159.4,103,6291,7.6,"Steven Soderbergh","Jesse Bradford","A.E. Hotchner"
"1690",1993,"1993-10-08","Mr. Nanny","New Line Cinema","USA","PG","Action",1e+07,4247162,1.7e+07,7220175.4,-9779824.6,84,7914,3.6,"Michael Gottlieb","Hulk Hogan","Edward Rugoff"
"1691",1993,"1993-12-03","A Dangerous Woman","Island World","USA","R","Drama",0,1497222,0,2545277.4,2545277.4,102,1327,5.9,"Stephen Gyllenhaal","Debra Winger","Mary McGarry Morris"
"1692",1993,"2001-10-12","Iron Monkey","Film Workshop","Hong Kong","PG-13","Action",1.1e+07,14681661,18700000,24958823.7,6258823.7,90,13830,7.6,"Woo-Ping Yuen","Rongguang Yu","Tan Cheung"
"1693",1993,"1993-12-21","Faraway, So Close!","Road Movies Filmproduktion","Germany","PG-13","Drama",10500000,810455,17850000,1377773.5,-16472226.5,144,6278,7.3,"Wim Wenders","Otto Sander","Wim Wenders"
"1694",1993,"1993-03-05","Best of the Best II","Movie Group, The","USA","R","Action",0,6607218,0,11232270.6,11232270.6,101,4469,5.4,"Robert Radler","Eric Roberts","Max Strom"
"1695",1993,"1993-03-12","A Far Off Place","Walt Disney Pictures","USA","PG","Adventure",0,12890752,0,21914278.4,21914278.4,100,2952,6.6,"Mikael Salomon","Reese Witherspoon","Laurens van der Post"
"1696",1993,"1993-11-24","Josh and S.A.M.","Castle Rock Entertainment","USA","PG-13","Adventure",1.8e+07,1528163,30600000,2597877.1,-28002122.9,96,1253,5.8,"Billy Weber","Jacob Tierney","Frank Deese"
"1697",1993,"1993-10-08","Mr. Jones","Rastar Productions","USA","R","Drama",2.5e+07,8315975,42500000,14137157.5,-28362842.5,114,5931,5.8,"Mike Figgis","Richard Gere","Eric Roth"
"1698",1993,"1993-10-08","Deadfall","Trimark Pictures","USA","R","Crime",1e+07,18369,1.7e+07,31227.3,-16968772.7,98,2376,3.7,"Christopher Coppola","Michael Biehn","Christopher Coppola"
"1699",1993,"1994-01-26","Blink","New Line Cinema","USA","R","Crime",1.1e+07,16696219,18700000,28383572.3,9683572.3,106,6770,6.2,"Michael Apted","Madeleine Stowe","Dana Stevens"
"1700",1993,"1993-08-04","The Wedding Banquet","Ang Lee Productions","Taiwan","R","Comedy",1e+06,6933459,1700000,11786880.3,10086880.3,106,11573,7.7,"Ang Lee","Winston Chao","Ang Lee"
"1701",1993,"1994-02-25","Sugar Hill","Beacon Communications","USA","R","Drama",1e+07,18272447,1.7e+07,31063159.9,14063159.9,123,3376,5.9,"Leon Ichaso","Wesley Snipes","Barry Michael Cooper"
"1702",1993,"1993-11-19","Man's Best Friend","New Line Cinema","USA","R","Comedy",6e+06,12974636,10200000,22056881.2,11856881.2,87,3256,5.1,"John Lafia","Ally Sheedy","John Lafia"
"1703",1993,"1994-06-03","The Slingshot","Nordisk Film","Denmark","R","Drama",0,309117,0,525498.9,525498.9,102,1686,6.5,"Åke Sandgren","Jesper Salén","Åke Sandgren"
"1704",1993,"1993-05-14","Posse","PolyGram Filmed Entertainment","UK","R","Western",1e+07,18290000,1.7e+07,31093000,14093000,111,3422,5.5,"Mario Van Peebles","Mario Van Peebles","Sy Richardson"
"1705",1993,"1994-08-24","The Advocate","British Broadcasting Corporation (BBC)","France","R","Crime",0,667078,0,1134032.6,1134032.6,100,1663,6.8,"Leslie Megahey","Colin Firth","Leslie Megahey"
"1706",1993,"1993-07-23","Another Stakeout","Touchstone Pictures","USA","PG-13","Action",0,20208496,0,34354443.2,34354443.2,108,11561,5.5,"John Badham","Richard Dreyfuss","Jim Kouf"
"1707",1993,"1993-05-21","Carnosaur","New Horizons Picture","USA","R","Horror",1e+06,1753979,1700000,2981764.3,1281764.3,83,3208,3.5,"Adam Simon","Diane Ladd","John Brosnan"
"1708",1993,"1993-01-22","Aspen Extreme","Hollywood Pictures","USA","PG-13","Drama",1.4e+07,8041049,23800000,13669783.3,-10130216.7,113,2414,5.8,"Patrick Hasburgh","Paul Gross","Patrick Hasburgh"
"1709",1993,"1993-12-29","Ghost in the Machine","Twentieth Century Fox Film Corporation","USA","R","Horror",1.2e+07,5086909,20400000,8647745.3,-11752254.7,95,2839,4.4,"Rachel Talalay","Karen Allen","William Davies"
"1710",1993,"1993-08-27","Son of the Pink Panther","Filmauro","Italy","PG","Comedy",2.5e+07,2457574,42500000,4177875.8,-38322124.2,93,4105,3.8,"Blake Edwards","Roberto Benigni","Maurice Richlin"
"1711",1993,"1993-06-25","House of Cards","A&M; Films","Italy","PG-13","Drama",0,322871,0,548880.7,548880.7,100,2301,6.3,"Michael Lessac","Kathleen Turner","Michael Lessac"
"1712",1993,"1993-06-24","Crime Story","Golden Harvest Company","Hong Kong","R","Action",0,194720,0,331024,331024,107,4566,6.8,"Kirk Wong","Jackie Chan","Tin Nam Chun"
"1713",1993,"1994-03-31","Germinal","Renn Productions","France","R","Drama",0,378854,0,644051.8,644051.8,160,3759,7.1,"Claude Berri","Renaud","Claude Berri"
"1714",1993,"1993-11-19","Dangerous Game","Cecchi Gori Europa N.V.","Italy","R","Drama",1e+07,72495,1.7e+07,123241.5,-16876758.5,108,3022,5.7,"Abel Ferrara","Harvey Keitel","Nicholas St. John"
"1715",1993,"1993-11-05","A Home of Our Own","A&M; Films","USA","PG","Biography",1.2e+07,1703282,20400000,2895579.4,-17504420.6,104,2416,7.1,"Tony Bill","Kathy Bates","Patrick Sheane Duncan"
"1716",1993,"1993-08-27","Father Hood","Hollywood Pictures","USA","PG-13","Comedy",0,3418141,0,5810839.7,5810839.7,95,2440,4.8,"Darrell Roodt","Patrick Swayze","Scott Spencer"
"1717",1993,"1993-04-30","Splitting Heirs","Prominent Features","UK","PG-13","Comedy",0,3246063,0,5518307.1,5518307.1,87,3515,5.5,"Robert Young","Eric Idle","Eric Idle"
"1718",1993,"1993-11-24","The Nutcracker","Krasnow Productions","USA","G","Family",1.9e+07,2119994,32300000,3603989.8,-28696010.2,92,1280,5.8,"Emile Ardolino","Darci Kistler","Susan Cooper"
"1719",1993,"1993-09-10","Money for Nothing","Permut Presentations","USA","R","Comedy",1.1e+07,1044824,18700000,1776200.8,-16923799.2,100,3306,5.7,"Ramón Menéndez","John Cusack","Mark Bowden"
"1720",1993,"1994-03-18","Mother's Boys","Miramax","USA","R","Drama",8e+06,874148,13600000,1486051.6,-12113948.4,96,2570,5.4,"Yves Simoneau","Jamie Lee Curtis","Bernard Taylor"
"1721",1993,"1993-03-12","Ethan Frome","American Playhouse","UK","PG","Drama",0,296081,0,503337.7,503337.7,99,1798,6.3,"John Madden","Liam Neeson","Richard Nelson"
"1722",1993,"1995-01-27","Silent Tongue","Belbo Films","France","PG-13","Drama",0,61274,0,104165.8,104165.8,102,922,5.3,"Sam Shepard","Alan Bates","Sam Shepard"
"1723",1993,"1993-03-05","Amos & Andrew","Castle Rock Entertainment","USA","PG-13","Comedy",0,9745803,0,16567865.1,16567865.1,96,7566,5.6,"E. Max Frye","Nicolas Cage","E. Max Frye"
"1725",1993,"1993-06-04","Guilty as Sin","Hollywood Pictures","USA","R","Crime",0,22886222,0,38906577.4,38906577.4,107,3881,5.6,"Sidney Lumet","Rebecca De Mornay","Larry Cohen"
"1726",1993,"1993-09-10","The Real McCoy","Bregman/Baer Productions","USA","PG-13","Crime",0,6473326,0,11004654.2,11004654.2,105,7143,5.5,"Russell Mulcahy","Kim Basinger","Desmond Lowden"
"1727",1993,"1993-10-15","Mr. Wonderful","Night Life Inc.","USA","PG-13","Comedy",1.3e+07,3125424,22100000,5313220.8,-16786779.2,98,2743,5.9,"Anthony Minghella","Matt Dillon","Amy Schor Ferris"
"1728",1993,"1994-04-13","Naked in New York","Some Film","USA","R","Comedy",0,1038959,0,1766230.3,1766230.3,95,1393,5.7,"Daniel Algrant","Eric Stoltz","Daniel Algrant"
"1729",1993,"1993-04-02","Jack the Bear","Twentieth Century Fox Film Corporation","USA","PG-13","Drama",0,5145462,0,8747285.4,8747285.4,99,3451,6.5,"Marshall Herskovitz","Danny DeVito","Dan McCall"
"1731",1993,"1993-04-16","Boiling Point","StudioCanal","USA","R","Action",9e+06,10058318,15300000,17099140.6,1799140.6,92,4831,4.9,"James B. Harris","Wesley Snipes","Gerald Petievich"
"1732",1993,"1996-04-19","For the Moment","John Aaron Features II Inc.","Canada","PG-13","Romance",0,121548,0,206631.6,206631.6,100,821,6.3,"Aaron Kim Johnston","Russell Crowe","Aaron Kim Johnston"
"1733",1993,"1995-09-01","The Innocent","Deutsche Film (DEFA)","Germany","R","Drama",0,553454,0,940871.8,940871.8,119,1319,5.7,"John Schlesinger","Isabella Rossellini","Ian McEwan"
"1735",1993,"1995-01-20","Strawberry and Chocolate","Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC)","Cuba","R","Comedy",0,2080805,0,3537368.5,3537368.5,108,4563,7.5,"Tomás Gutiérrez Alea","Jorge Perugorría","Tomás Gutiérrez Alea"
"1736",1993,"1993-05-14","Lost in Yonkers","Columbia Pictures Corporation","USA","PG","Comedy",0,9285189,0,15784821.3,15784821.3,114,2180,6.7,"Martha Coolidge","Richard Dreyfuss","Neil Simon"
"1737",1993,"1994-06-03","Fear of a Black Hat","Incorporated Television Company (ITC)","USA","R","Comedy",999999,238230,1699998.3,404991,-1295007.3,88,3462,7.2,"Rusty Cundieff","Larry B. Scott","Rusty Cundieff"
"1738",1993,"1993-08-20","The Ballad of Little Jo","Joco","USA","R","Drama",0,543091,0,923254.7,923254.7,100,1211,6.8,"Maggie Greenwald","Suzy Amis","Maggie Greenwald"
"1739",1993,"1993-04-23","Who's the Man?","De Passe Entertainment","USA","R","Comedy",0,11299730,0,19209541,19209541,100,1519,5.5,"Ted Demme","Ed Lover","Doctor Dré"
"1740",1993,"1993-03-26","Born Yesterday","Hollywood Pictures","USA","PG","Comedy",0,17952857,0,30519856.9,30519856.9,100,3296,5.1,"Luis Mandoki","Melanie Griffith","Garson Kanin"
"1741",1993,"1994-02-04","Gunmen","Davis Entertainment","USA","R","Action",8030000,3411885,13651000,5800204.5,-7850795.5,94,2861,5.2,"Deran Sarafian","Christopher Lambert","Stephen Sommers"
"1742",1993,"1993-12-17","Wrestling Ernest Hemingway","Warner Bros.","USA","PG-13","Drama",0,231700,0,393890,393890,123,2547,7.1,"Randa Haines","Robert Duvall","Steve Conrad"
"1744",1993,"1993-08-20","Wilder Napalm","Baltimore Pictures","USA","PG-13","Comedy",0,84859,0,144260.3,144260.3,109,1349,5.5,"Glenn Gordon Caron","Debra Winger","Vince Gilligan"
"1745",1993,"1993-09-03","Calendar Girl","Parkway Productions","USA","PG-13","Drama",1.3e+07,2570145,22100000,4369246.5,-17730753.5,90,1901,5,"John Whitesell","Jason Priestley","Paul W. Shapiro"
"1746",1993,"1993-04-09","Bodies, Rest & Motion","Fine Line Features","USA","R","Drama",2500000,764083,4250000,1298941.1,-2951058.9,95,2008,5.6,"Michael Steinberg","Phoebe Cates","Roger Hedden"
"1748",1993,"1993-02-11","Once Upon a Time in China III","Golden Harvest Company","Hong Kong","R","Action",0,3560604,0,6053026.8,6053026.8,109,5426,6.8,"Hark Tsui","Jet Li","Tin-suen Chan"
"1749",1993,"1993-09-10","Witchboard 2","Republic Pictures (II)","USA","R","Horror",0,168180,0,285906,285906,98,1178,5,"Kevin Tenney","Ami Dolenz","Kevin Tenney"
"1751",1993,"1993-01-22","Hexed","Price Entertainment","USA","R","Comedy",0,2786807,0,4737571.9,4737571.9,100,1313,5.5,"Alan Spencer","Arye Gross","Alan Spencer"
"1753",1993,"1993-09-17","Morning Glory","Dove Audio","USA","PG-13","Drama",0,21647,0,36799.9,36799.9,96,315,6.6,"Steven Hilliard Stern","Christopher Reeve","Charles Jarrott"
"1754",1993,"1993-04-30","Three of Hearts","New Line Cinema","USA","R","Comedy",0,5495507,0,9342361.9,9342361.9,100,1699,5.5,"Yurek Bogayevicz","William Baldwin","Adam Greenman"
"1755",1993,"1993-03-26","Watch It","Island World","USA","R","Comedy",0,120623,0,205059.1,205059.1,102,505,6.4,"Tom Flynn","Peter Gallagher","Tom Flynn"
"1756",1993,"1994-06-04","Philadelphia Experiment II","Trimark Pictures","USA","PG-13","Action",5e+06,2970,8500000,5049,-8494951,97,1526,4.5,"Stephen Cornwell","Brad Johnson","Wallace C. Bennett"
"1758",1993,"1995-06-23","Love & Human Remains","Atlantis Films","Canada","R","Drama",0,953755,0,1621383.5,1621383.5,100,2248,6.7,"Denys Arcand","Thomas Gibson","Brad Fraser"
"1759",1993,"1993-11-17","The Saint of Fort Washington","Carrie Productions Inc.","USA","R","Drama",0,57115,0,97095.5,97095.5,100,2027,7.2,"Tim Hunter","Danny Glover","Lyle Kessler"
"1760",1993,"1993-11-05","Ruby in Paradise","Full Crew/Say Yea","USA","R","Drama",8e+05,1001437,1360000,1702442.9,342442.9,114,2137,7.1,"Victor Nunez","Ashley Judd","Jane Austen"
"1761",1994,"1994-10-14","The Shawshank Redemption","Castle Rock Entertainment","USA","R","Crime",2.5e+07,28341469,41500000,47046838.54,5546838.54,142,1861666,9.3,"Frank Darabont","Tim Robbins","Stephen King"
"1762",1994,"1994-10-14","Pulp Fiction","Miramax","USA","R","Crime",8e+06,107928762,13280000,179161744.92,165881744.92,154,1456787,8.9,"Quentin Tarantino","John Travolta","Quentin Tarantino"
"1763",1994,"1994-07-06","Forrest Gump","Paramount Pictures","USA","PG-13","Comedy",5.5e+07,330252182,91300000,548218622.12,456918622.12,142,1402876,8.8,"Robert Zemeckis","Tom Hanks","Winston Groom"
"1764",1994,"1994-11-18","Léon: The Professional","Gaumont","France","R","Crime",0,19501238,0,32372055.08,32372055.08,110,806235,8.6,"Luc Besson","Jean Reno","Luc Besson"
"1765",1994,"1994-06-24","The Lion King","Walt Disney Pictures","USA","G","Animation",4.5e+07,312900000,74700000,519414000,444714000,88,723070,8.5,"Roger Allers","Matthew Broderick","Irene Mecchi"
"1766",1994,"1994-11-11","Interview with the Vampire: The Vampire Chronicles","Geffen Pictures","USA","R","Drama",6e+07,105264608,99600000,174739249.28,75139249.28,123,255095,7.6,"Neil Jordan","Brad Pitt","Anne Rice"
"1767",1994,"1994-06-10","Speed","The Mark Gordon Company","USA","R","Action",3e+07,121248145,49800000,201271920.7,151471920.7,116,279357,7.2,"Jan de Bont","Keanu Reeves","Graham Yost"
"1768",1994,"1994-08-05","The Little Rascals","Universal Pictures","USA","PG","Comedy",0,51764950,0,85929817,85929817,82,36665,6.3,"Penelope Spheeris","Travis Tedford","Penelope Spheeris"
"1769",1994,"1994-04-15","Four Weddings and a Funeral","PolyGram Filmed Entertainment","UK","R","Comedy",4400000,52700832,7304000,87483381.12,80179381.12,117,115440,7.1,"Mike Newell","Hugh Grant","Richard Curtis"
"1770",1994,"1994-07-29","The Mask","New Line Cinema","USA","PG-13","Comedy",1.8e+07,119938730,29880000,199098291.8,169218291.8,101,286352,6.9,"Chuck Russell","Jim Carrey","Michael Fallon"
"1771",1994,"1994-12-16","Dumb and Dumber","New Line Cinema","USA","PG-13","Comedy",1.6e+07,127175354,26560000,211111087.64,184551087.64,107,306934,7.3,"Peter Farrelly","Jim Carrey","Peter Farrelly"
"1772",1994,"1994-08-26","Natural Born Killers","Warner Bros.","USA","R","Crime",3.4e+07,50282766,56440000,83469391.56,27029391.56,118,185627,7.3,"Oliver Stone","Woody Harrelson","Quentin Tarantino"
"1773",1994,"1995-01-13","Legends of the Fall","TriStar Pictures","USA","R","Drama",3e+07,66638883,49800000,110620545.78,60820545.78,133,121453,7.5,"Edward Zwick","Brad Pitt","Susan Shilliday"
"1774",1994,"1994-10-28","Stargate: la puerta del tiempo","Canal+","France","PG-13","Action",5.5e+07,71565669,91300000,118799010.54,27499010.54,116,156375,7.1,"Roland Emmerich","Kurt Russell","Dean Devlin"
"1775",1994,"1994-07-15","True Lies","Twentieth Century Fox Film Corporation","USA","R","Action",1.15e+08,146282411,190900000,242828802.26,51928802.26,141,202934,7.2,"James Cameron","Arnold Schwarzenegger","Claude Zidi"
"1776",1994,"1994-05-13","The Crow","Crowvision Inc.","USA","R","Action",2.3e+07,50693162,38180000,84150648.92,45970648.92,102,144969,7.6,"Alex Proyas","Brandon Lee","James O'Barr"
"1777",1994,"1994-02-04","Ace Ventura: Pet Detective","Morgan Creek Productions","USA","PG-13","Comedy",1.2e+07,72217000,19920000,119880220,99960220,86,232964,6.9,"Tom Shadyac","Jim Carrey","Jack Bernstein"
"1778",1994,"1994-06-24","Wyatt Earp","Warner Bros.","USA","PG-13","Adventure",6.3e+07,25052000,104580000,41586320,-62993680,191,38101,6.7,"Lawrence Kasdan","Kevin Costner","Dan Gordon"
"1779",1994,"1994-05-27","The Flintstones","Universal Pictures","USA","PG","Comedy",4.6e+07,130512915,76360000,216651438.9,140291438.9,91,64538,4.8,"Brian Levant","John Goodman","Tom S. Parker"
"1780",1994,"1994-03-25","D2: The Mighty Ducks","Avnet/Kerner Productions","USA","PG","Comedy",0,45610410,0,75713280.6,75713280.6,106,30231,6,"Sam Weisman","Emilio Estevez","Steven Brill"
"1781",1994,"1994-02-18","Reality Bites","Jersey Films","USA","PG-13","Comedy",11500000,20982557,19090000,34831044.62,15741044.62,99,38652,6.6,"Ben Stiller","Winona Ryder","Helen Childress"
"1782",1994,"1994-11-18","Star Trek: Generations","Paramount Pictures","USA","PG","Action",3.5e+07,75668868,58100000,125610320.88,67510320.88,118,64703,6.6,"David Carson","Patrick Stewart","Gene Roddenberry"
"1783",1994,"1994-10-07","Ed Wood","Touchstone Pictures","USA","R","Biography",1.8e+07,5887457,29880000,9773178.62,-20106821.38,127,149166,7.9,"Tim Burton","Johnny Depp","Rudolph Grey"
"1784",1994,"1994-10-14","New Nightmare","New Line Cinema","USA","R","Fantasy",8e+06,18090181,13280000,30029700.46,16749700.46,112,41464,6.4,"Wes Craven","Heather Langenkamp","Wes Craven"
"1785",1994,"1994-11-09","Clerks","View Askew Productions","USA","R","Comedy",230000,3151130,381800,5230875.8,4849075.8,92,190615,7.8,"Kevin Smith","Brian O'Halloran","Kevin Smith"
"1786",1994,"1994-11-04","Mary Shelley's Frankenstein","TriStar Pictures","USA","R","Drama",4.5e+07,22006296,74700000,36530451.36,-38169548.64,123,44892,6.4,"Kenneth Branagh","Robert De Niro","Mary Shelley"
"1787",1994,"1994-08-03","Clear and Present Danger","Mace Neufeld Productions","USA","PG-13","Action",6.2e+07,122187717,102920000,202831610.22,99911610.22,141,74328,6.9,"Phillip Noyce","Harrison Ford","Tom Clancy"
"1788",1994,"1994-12-25","Little Women","Columbia Pictures Corporation","USA","PG","Drama",1.5e+07,50083616,24900000,83138802.56,58238802.56,115,39288,7.3,"Gillian Armstrong","Susan Sarandon","Louisa May Alcott"
"1789",1994,"1994-12-21","Ri¢hie Ri¢h","Warner Bros.","USA","PG","Comedy",4e+07,38087756,66400000,63225674.96,-3174325.04000001,95,53644,5.3,"Donald Petrie","Macaulay Culkin","Neil Tolkin"
"1790",1994,"1995-10-21","Texas Chainsaw Massacre: The Next Generation","Genre Pictures","USA","R","Comedy",6e+05,141626,996000,235099.16,-760900.84,95,16202,3.2,"Kim Henkel","Renée Zellweger","Kim Henkel"
"1791",1994,"1994-07-01","Baby's Day Out","Twentieth Century Fox Film Corporation","USA","PG","Adventure",5e+07,16671505,8.3e+07,27674698.3,-55325301.7,99,36625,6,"Patrick Read Johnson","Lara Flynn Boyle","John Hughes"
"1792",1994,"1994-12-23","Street Fighter","Capcom Entertainment","Japan","PG-13","Action",3.5e+07,33423521,58100000,55483044.86,-2616955.14,102,56055,3.8,"Steven E. de Souza","Jean-Claude Van Damme","Steven E. de Souza"
"1793",1994,"1994-10-14","Little Giants","Warner Bros.","USA","PG","Comedy",2e+07,19288821,33200000,32019442.86,-1180557.14,107,21057,6.3,"Duwayne Dunham","Rick Moranis","James Ferguson"
"1794",1994,"1994-08-05","Airheads","Twentieth Century Fox Film Corporation","USA","PG-13","Comedy",0,5370000,0,8914200,8914200,92,40298,6.1,"Michael Lehmann","Brendan Fraser","Rich Wilkes"
"1795",1994,"1994-08-10","Las aventuras de Priscilla, reina del desierto","PolyGram Filmed Entertainment","Australia","R","Comedy",0,11220670,0,18626312.2,18626312.2,104,39500,7.5,"Stephan Elliott","Hugo Weaving","Stephan Elliott"
"1796",1994,"1998-03-27","Criaturas celestiales","WingNut Films","New Zealand","R","Biography",5e+06,3049135,8300000,5061564.1,-3238435.9,99,52852,7.4,"Peter Jackson","Melanie Lynskey","Fran Walsh"
"1797",1994,"1995-02-03","In the Mouth of Madness","New Line Cinema","USA","R","Fantasy",8e+06,8946600,13280000,14851356,1571356,95,47554,7.2,"John Carpenter","Sam Neill","Michael De Luca"
"1798",1994,"1994-12-23","Nell","Egg Pictures","USA","PG-13","Drama",3.1e+07,33683817,51460000,55915136.22,4455136.22,112,23973,6.5,"Michael Apted","Jodie Foster","Mark Handley"
"1799",1994,"1994-07-20","The Client","Warner Bros.","USA","PG-13","Crime",4.5e+07,92115211,74700000,152911250.26,78211250.26,119,49609,6.7,"Joel Schumacher","Susan Sarandon","John Grisham"
"1800",1994,"1994-05-20","Maverick","Donner/Shuler-Donner Productions","USA","PG","Action",7.5e+07,101631272,124500000,168707911.52,44207911.52,127,88132,7,"Richard Donner","Mel Gibson","Roy Huggins"
"1801",1994,"1994-11-11","The Santa Clause","Walt Disney Pictures","USA","PG","Comedy",2.2e+07,144833357,36520000,240423372.62,203903372.62,97,71963,6.4,"John Pasquin","Tim Allen","Leo Benvenuti"
"1802",1994,"1994-02-18","Blue Chips","Paramount Pictures","USA","PG-13","Drama",0,22355000,0,37109300,37109300,108,10150,6.1,"William Friedkin","Nick Nolte","Ron Shelton"
"1803",1994,"1994-02-04","My Father the Hero","Touchstone Pictures","France","PG","Comedy",0,25479558,0,42296066.28,42296066.28,90,9254,5.4,"Steve Miner","Gérard Depardieu","Gérard Lauzier"
"1804",1994,"1996-03-08","Chungking Express","Jet Tone Production","Hong Kong","PG-13","Crime",0,600200,0,996332,996332,102,45500,8.1,"Kar-Wai Wong","Brigitte Lin","Kar-Wai Wong"
"1805",1994,"1994-10-07","The Specialist","Warner Bros.","Peru","R","Action",4.5e+07,57362581,74700000,95221884.46,20521884.46,110,53868,5.5,"Luis Llosa","Sylvester Stallone","John Shirley"
"1806",1994,"1994-02-11","Blank Check","Walt Disney Pictures","USA","PG","Comedy",0,30577969,0,50759428.54,50759428.54,93,15449,5.2,"Rupert Wainwright","Brian Bonsall","Blake Snyder"
"1807",1994,"1994-06-03","Renaissance Man","Cinergi Pictures Entertainment","USA","PG-13","Comedy",4e+07,24332324,66400000,40391657.84,-26008342.16,128,14657,6.1,"Penny Marshall","Danny DeVito","Jim Burnstein"
"1808",1994,"1994-12-30","El Libro de la Selva","Vegahom Europe","USA","PG","Adventure",2.7e+07,44342956,44820000,73609306.96,28789306.96,111,14034,6,"Stephen Sommers","Jason Scott Lee","Rudyard Kipling"
"1809",1994,"1995-03-31","La boda de Muriel","CiBy 2000","Australia","R","Comedy",3e+06,15185594,4980000,25208086.04,20228086.04,106,29720,7.2,"P.J. Hogan","Toni Collette","P.J. Hogan"
"1810",1994,"1994-07-15","Angels in the Outfield","Caravan Pictures","USA","PG","Comedy",2.4e+07,50236831,39840000,83393139.46,43553139.46,102,23966,6.1,"William Dear","Danny Glover","Dorothy Kingsley"
"1811",1994,"1994-05-25","Beverly Hills Cop III","Paramount Pictures","USA","R","Action",5.5e+07,42610000,91300000,70732600,-20567400,104,64891,5.5,"John Landis","Eddie Murphy","Danilo Bach"
"1812",1994,"1994-10-07","Quiz Show","Baltimore Pictures","USA","PG-13","Biography",3.1e+07,24822619,51460000,41205547.54,-10254452.46,133,57114,7.5,"Robert Redford","Ralph Fiennes","Paul Attanasio"
"1813",1994,"1994-12-09","Disclosure","Warner Bros.","USA","R","Drama",5.5e+07,83015089,91300000,137805047.74,46505047.74,128,39139,6,"Barry Levinson","Michael Douglas","Michael Crichton"
"1814",1994,"1995-03-03","Somos guerreros","Communicado Productions","New Zealand","R","Crime",0,2201126,0,3653869.16,3653869.16,102,27093,7.9,"Lee Tamahori","Rena Owen","Riwia Brown"
"1815",1994,"1994-08-26","Corrina, Corrina","New Line Cinema","USA","PG","Comedy",0,20160000,0,33465600,33465600,115,10650,6.5,"Jessie Nelson","Ray Liotta","Jessie Nelson"
"1816",1994,"1994-06-17","Wolf","Columbia Pictures Corporation","USA","R","Drama",7e+07,65012000,116200000,107919920,-8280080,125,46095,6.2,"Mike Nichols","Jack Nicholson","Jim Harrison"
"1817",1994,"1994-03-18","Naked Gun 33 1/3: The Final Insult","Paramount Pictures","USA","PG-13","Comedy",3e+07,51132598,49800000,84880112.68,35080112.68,83,82374,6.5,"Peter Segal","Leslie Nielsen","Pat Proft"
"1818",1994,"1994-04-22","Bad Girls","Twentieth Century Fox Film Corporation","USA","R","Romance",0,15240435,0,25299122.1,25299122.1,99,10190,5.1,"Jonathan Kaplan","Madeleine Stowe","Albert S. Ruddy"
"1819",1994,"1994-11-23","The Pagemaster","Twentieth Century Fox Film Corporation","USA","G","Animation",2.7e+07,13670688,44820000,22693342.08,-22126657.92,80,17391,6,"Pixote Hunt","Macaulay Culkin","David Kirschner"
"1820",1994,"1994-03-11","The Hudsucker Proxy","PolyGram Filmed Entertainment","UK","PG","Comedy",3e+07,2869369,49800000,4763152.54,-45036847.46,111,68649,7.3,"Joel Coen","Tim Robbins","Ethan Coen"
"1821",1994,"1994-08-19","Color of Night","Cinergi Pictures Entertainment","USA","R","Mystery",4e+07,19721814,66400000,32738211.24,-33661788.76,121,19835,5.1,"Richard Rush","Bruce Willis","Billy Ray"
"1822",1994,"1994-09-30","The River Wild","Universal Pictures","USA","PG-13","Action",4.5e+07,46815748,74700000,77714141.68,3014141.67999999,111,35146,6.3,"Curtis Hanson","Meryl Streep","Denis O'Neill"
"1823",1994,"1994-04-29","PCU","Twentieth Century Fox Film Corporation","USA","PG-13","Comedy",8e+06,4350774,13280000,7222284.84,-6057715.16,79,10934,6.6,"Hart Bochner","Jeremy Piven","Adam Leff"
"1824",1994,"1994-11-23","Three Colors: Red","MK2 Productions","Switzerland","R","Drama",0,4043686,0,6712518.76,6712518.76,99,69096,8.1,"Krzysztof Kieslowski","Irène Jacob","Krzysztof Kieslowski"
"1825",1994,"1995-04-07","Don Juan DeMarco","New Line Cinema","USA","PG-13","Comedy",2.5e+07,22150451,41500000,36769748.66,-4730251.34,97,43444,6.7,"Jeremy Leven","Johnny Depp","Lord Byron"
"1826",1994,"1994-08-26","Camp Nowhere","Hollywood Pictures","USA","PG","Adventure",0,10471613,0,17382877.58,17382877.58,96,7684,5.9,"Jonathan Prince","Jonathan Jackson","Andrew Kurtzman"
"1827",1994,"2000-10-20","The Legend of Drunken Master","Golden Harvest Company","Hong Kong","R","Action",1e+07,11546543,16600000,19167261.38,2567261.38,102,37144,7.6,"Chia-Liang Liu","Jackie Chan","Edward Tang"
"1828",1994,"1994-11-23","Junior","Universal Pictures","USA","PG-13","Comedy",6e+07,36763355,99600000,61027169.3,-38572830.7,109,56919,4.6,"Ivan Reitman","Arnold Schwarzenegger","Kevin Wade"
"1829",1994,"1994-09-16","Timecop: Policía del futuro","Largo Entertainment","Canada","R","Action",2.7e+07,44853581,44820000,74456944.46,29636944.46,99,47553,5.8,"Peter Hyams","Jean-Claude Van Damme","Mark Verheiden"
