"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"4063",2004,"2004-09-10","Cellular","New Line Cinema","USA","PG-13","Action",2.5e+07,32003620,32750000,41924742.2,9174742.2,94,82822,6.5,"David R. Ellis","Kim Basinger","Larry Cohen"
"4065",2004,"2005-05-13","La isla maldita","Dimension Films","Netherlands","R","Crime",2.7e+07,4480744,35370000,5869774.64,-29500225.36,106,51913,6.4,"Renny Harlin","Val Kilmer","Wayne Kramer"
"4066",2004,"2004-10-22","I Heart Huckabees","Fox Searchlight Pictures","USA","R","Comedy",2.2e+07,12784713,28820000,16747974.03,-12072025.97,107,58556,6.7,"David O. Russell","Jason Schwartzman","David O. Russell"
"4067",2004,"2004-06-11","Garfield","Twentieth Century Fox Film Corporation","USA","PG","Animation",3.5e+07,75369589,45850000,98734161.59,52884161.59,80,64907,5,"Peter Hewitt","Breckin Meyer","Jim Davis"
"4068",2004,"2006-06-02","District B13","EuropaCorp","France","R","Action",0,1197786,0,1569099.66,1569099.66,84,58967,7.2,"Pierre Morel","Cyril Raffaelli","Luc Besson"
"4069",2004,"2005-01-07","Kinsey","Fox Searchlight Pictures","USA","R","Biography",1.1e+07,10214647,14410000,13381187.57,-1028812.43,118,44032,7.1,"Bill Condon","Liam Neeson","Bill Condon"
"4070",2004,"2004-09-24","The Forgotten","Revolution Studios","USA","PG-13","Drama",4.2e+07,66641205,55020000,87299978.55,32279978.55,91,59556,5.8,"Joseph Ruben","Julianne Moore","Gerald Di Pego"
"4071",2004,"2004-08-20","Without a Paddle","Paramount Pictures","USA","PG-13","Adventure",1.9e+07,58169327,24890000,76201818.37,51311818.37,95,39199,5.9,"Steven Brill","Matthew Lillard","Fred Wolf"
"4072",2004,"2004-10-15","The Motorcycle Diaries","FilmFour","Argentina","R","Adventure",0,16756372,0,21950847.32,21950847.32,126,87264,7.8,"Walter Salles","Gael García Bernal","Ernesto 'Che' Guevara"
"4073",2004,"2004-03-26","Jersey Girl","Miramax","USA","PG-13","Comedy",3.5e+07,25266129,45850000,33098628.99,-12751371.01,102,57178,6.2,"Kevin Smith","Ben Affleck","Kevin Smith"
"4074",2004,"2005-01-14","House of Flying Daggers","Beijing New Picture Film Co.","China","PG-13","Action",0,11050094,0,14475623.14,14475623.14,119,96858,7.6,"Yimou Zhang","Ziyi Zhang","Feng Li"
"4075",2004,"2004-09-01","Vanity Fair","Focus Features","USA","PG-13","Drama",2.3e+07,16136476,30130000,21138783.56,-8991216.44,141,18147,6.2,"Mira Nair","Reese Witherspoon","Matthew Faulk"
"4076",2004,"2004-09-29","2046","Jet Tone Films","Hong Kong","R","Drama",1.2e+07,261481,15720000,342540.11,-15377459.89,129,44039,7.5,"Kar-Wai Wong","Tony Chiu-Wai Leung","Kar-Wai Wong"
"4077",2004,"2004-05-28","Soul Plane","Metro-Goldwyn-Mayer (MGM)","USA","R","Comedy",1.6e+07,13922211,20960000,18238096.41,-2721903.59,86,19204,4.4,"Jessy Terrero","Dwayne Adway","Bo Zenga"
"4078",2004,"2004-07-30","Thunderbirds","Working Title Films","UK","PG","Action",5.7e+07,6768055,74670000,8866152.05,-65803847.95,95,11740,4.2,"Jonathan Frakes","Bill Paxton","Gerry Anderson"
"4079",2004,"2004-08-20","Exorcist: The Beginning","Morgan Creek Productions","USA","R","Horror",5e+07,41821986,65500000,54786801.66,-10713198.34,114,29891,5.1,"Renny Harlin","Stellan Skarsgård","William Peter Blatty"
"4080",2004,"2004-02-27","Club Dread","Broken Lizard Industries","USA","R","Comedy",8600000,4992159,11266000,6539728.29,-4726271.71,104,24974,5.7,"Jay Chandrasekhar","Jay Chandrasekhar","Jay Chandrasekhar"
"4081",2004,"2004-01-23","Win a Date with Tad Hamilton!","DreamWorks","USA","PG-13","Comedy",2.4e+07,17071962,31440000,22364270.22,-9075729.78,100,23925,5.6,"Robert Luketic","Kate Bosworth","Victor Levin"
"4082",2004,"2004-01-30","The Perfect Score","Paramount Pictures","USA","PG-13","Comedy",4e+07,10387706,52400000,13607894.86,-38792105.14,93,20826,5.7,"Brian Robbins","Scarlett Johansson","Marc Hyman"
"4083",2004,"2004-06-11","Saved!","United Artists","USA","PG-13","Comedy",5e+06,8940582,6550000,11712162.42,5162162.42,92,41580,6.8,"Brian Dannelly","Jena Malone","Brian Dannelly"
"4084",2004,"2004-03-05","Hidalgo","Touchstone Pictures","USA","PG-13","Action",1e+08,67286731,1.31e+08,88145617.61,-42854382.39,136,70672,6.7,"Joe Johnston","Viggo Mortensen","John Fusco"
"4085",2004,"2004-09-29","Mean Creek","Whitewater Films","USA","R","Crime",5e+05,603951,655000,791175.81,136175.81,90,27763,7.3,"Jacob Estes","Rory Culkin","Jacob Estes"
"4086",2004,"2004-01-30","You Got Served","Screen Gems","USA","PG-13","Drama",8e+06,40066497,10480000,52487111.07,42007111.07,95,24154,3.5,"Chris Stokes","Omarion Grandberry","Chris Stokes"
